[00:00:12.960] ういお
[00:00:16.279] 疲れういお
[00:00:19.870] [音楽]
[00:00:27.320] 疲れ来た
[00:00:33.300] [音楽]
[00:00:43.480] ようおお
[00:01:00.150] [音楽]
[00:01:09.840] ウェイを何回聞いても
[00:01:11.950] [音楽]
[00:01:18.720] 良いおさゆれうさぎおさゆれうさぎおさ
[00:01:22.520] ゆれ
[00:01:23.760] [音楽]
[00:01:28.920] うさぎもこライトさんがサブスクしました
[00:01:32.600] 3ヶ月目ですちゃま顔ちゃま顔ちゃま
[00:01:40.950] [音楽]
[00:01:44.920] 顔
[00:01:55.240] うおおないサブ
[00:02:02.230] [音楽]
[00:02:06.119] よ
[00:02:08.900] [音楽]
[00:02:46.800] オップのBGM噛みすぎやろ
[00:03:12.520] [音楽]
[00:03:20.599] he
[00:03:24.330] [音楽]
[00:03:31.040] おはようございますエフレクセペサア
[00:03:34.599] エフレクペペサアエフレクセペ
[00:03:38.920] サちゃまくイベント
[00:03:45.660] [音楽]
[00:03:54.439] 頑張るあたるあたる
[00:04:04.210] [音楽]
[00:04:20.239] ここ
[00:04:21.279] [音楽]
[00:04:23.880] 好きおはようございます剣闘1ウウ剣闘1
[00:04:28.560] ウウ
[00:04:42.800] ペンライトペンライトペンライト仕事中だ
[00:04:46.560] から挨拶だけしかできないけどちゃまさん
[00:04:49.560] 者の皆さん頑張ってね緊張してるんやろな
[00:04:53.440] ニコニコにんまり
[00:05:17.560] かっこいいアレンジハリボテ
[00:05:22.880] ゴードはいどうもおはようござい
[00:05:26.600] ますどうもおはようございますどうもです
[00:05:32.440] にがこんにちはですねおはようござこは
[00:05:36.680] おはようございつに部屋が明い始まるわけ
[00:05:40.000] ですけどもれておえ皆さんご来場の皆さん
[00:05:46.479] ありがとうございます今回のイベント
[00:05:49.840] マッシュアットthestamのえ企画
[00:05:54.880] 企画緊張
[00:05:56.919] しゲームと申します
[00:06:01.360] おめっちゃ緊張するもなんめちゃくちゃ
[00:06:05.080] 緊張するんだけどなあ緊張し大丈夫か今日
[00:06:09.680] これ行ける
[00:06:10.720] か行けんのか今日笑笑いつもも払いたい
[00:06:16.520] もんめっちゃ払いたいもんだって
[00:06:19.960] めちゃくちゃ払いたいよ
[00:06:22.080] なあやばい今日ま今日はですねあまあの
[00:06:26.160] なんか特になんかそのさもう
[00:06:30.720] めっった
[00:06:34.039] あの
[00:06:36.240] 顔白顔あこけてきてないなんかもうこけて
[00:06:41.240] きてる緊張で皆さんこちらご覧
[00:06:43.280] タイムテーブルね11時半スタートでまず
[00:06:46.599] 12時から今日
[00:06:48.960] はッ企画の説明を一応しようか
[00:06:52.120] な企画の説明を数ければよかったあこの
[00:06:58.000] イベントはねあのFPSを配信してる方々
[00:07:03.039] そしてレトロゲームを配信してる我々ねお
[00:07:05.720] 互いに多分存在は知ってるしね
[00:07:08.199] Twitterとかでもね絡んだりもする
[00:07:09.680] し仲いい人だとまお互いに配信行ったりも
[00:07:11.960] するけどもあんまりこう一緒にイベントや
[00:07:14.280] るってことなかなかないじゃないですか
[00:07:15.319] やっぱりゲームであのやっぱゲームも違う
[00:07:17.879] しねあれもなんでちょっと昔から思ってた
[00:07:21.120] ことがあって僕FPSめっちゃ下手なんす
[00:07:24.039] よ僕FPSめっちゃ下手なんすよなんかで
[00:07:27.840] もやっぱ逆もだと思ってFPSやってる人
[00:07:31.240] もレトロゲーって多分やったことねえ
[00:07:32.720] だろうなと思ってそれ交換したら面白いん
[00:07:34.440] じゃないかなと思ってなんかねやってみ
[00:07:37.199] たいなってのずっと前から言ってて1年
[00:07:39.639] ぐらい前から言っててやっとね思い腰を
[00:07:42.879] あげてえ準備し始めてあの起きてます起き
[00:07:47.280] てますおはようございます
[00:07:49.400] あのちょっと水飲んで
[00:07:52.440] いいちょっとちょっと水伸ばせてくれ
[00:07:55.000] ちょっとちょ今日なんか今日なんか
[00:07:56.520] おかしいぞ
[00:08:00.360] めちゃくちゃ緊張して
[00:08:02.120] いるめちゃくちゃ緊張してるまそんな感じ
[00:08:05.080] でね
[00:08:06.759] あのあれですよ緊張してめちゃくちゃ緊張
[00:08:10.639] しとるかあのこんな感じ
[00:08:13.919] であのねちょっとねちょっと待ってね
[00:08:18.599] ごめんねちょっと待ってねこれさBGMの
[00:08:21.720] 音量ってどうやっ
[00:08:24.800] て普できてることができんのよ
[00:08:29.800] できてることができ
[00:08:31.719] ないながら見てるわはいありがとうそんな
[00:08:35.159] 感じで今日はねいろんな人に総18名です
[00:08:39.039] かの方々に参加してもらいえっとえ
[00:08:44.560] イベントをやりますとげめっちゃ可いあの
[00:08:48.600] 本当にねいろんな方の力を借りてやとここ
[00:08:50.680] まで来たんでねちょっと楽しめたらみんな
[00:08:53.720] で楽しめたらいいなと思いながら初企画と
[00:08:57.240] いうことでやらせていただきますが皆さん
[00:08:58.760] どうぞよろしくお願いし
[00:09:01.040] ますまあねまずはねロックマレドリレーが
[00:09:04.959] 始まるんだけどもどうなんやろかみん
[00:09:08.440] パチパチパチ
[00:09:10.440] パパパみんな多分初見だと思うんよ初見だ
[00:09:15.279] と思うのねあさんここんちはこん
[00:09:17.680] こんにちはよろしくねちゃんも今日
[00:09:19.320] よろしく
[00:09:20.160] ねあのまずはロックマンリレをやるんです
[00:09:23.640] けど昨日俺配信で久々にやったのねロック
[00:09:27.920] マン2いやあのねやりながら思った
[00:09:31.720] けど初めての人にやらせるゲームじゃねえ
[00:09:34.240] なと
[00:09:35.000] 思っ多分ねみんなクソほど苦戦するだろう
[00:09:38.720] なクソほど苦戦するだろなちょっとじゃ
[00:09:41.560] あれかな先ほど者の方の顔出してんですが
[00:09:46.360] 操作でふしまくっていてそうそうだね今笑
[00:09:51.480] そうだよねいやマジで大変だと思う
[00:09:53.640] ちょっと待ってあのちょっとURL貼り
[00:09:55.680] ます今日の配信者のURL貼りますねまず
[00:09:59.000] ね第1者なんだけど12時から始まる第一
[00:10:02.000] 者ねさっきもコメント欄来てくれてたん
[00:10:04.519] ですけどささみちゃんとたちゃんです
[00:10:07.240] ね
[00:10:12.760] こちらこの2が第で走ってくれるんでぜひ
[00:10:17.519] 皆さんでお願いします
[00:10:20.760] でェで
[00:10:23.120] よろしく
[00:10:24.680] あの
[00:10:26.519] ボテボテ
[00:10:28.320] イベントあたこちゃんありがとう今日
[00:10:31.120] 頑張ってね頑張ってねなんかわかんない
[00:10:33.519] ことだったらすぐ連絡してあのあれよあ
[00:10:36.760] さんもこんばんはこんばんはあのね
[00:10:40.079] あのあれなのよあたこんばんはこんちは
[00:10:43.279] こんちはこんこんよろしくね今日はみん
[00:10:46.440] 張ります何かあのあのなんかあったらあの
[00:10:50.560] 連絡してくださいすぐ対応するんであのね
