[00:00:00.000] DET
[00:00:46.840] おやすみちゃまゲームおはようございます
[00:00:50.079] スチンキー
[00:00:54.559] チェセはいどうも
[00:00:57.680] こんばんはおやすみちゃま
[00:01:00.960] どうもおやすみちゃまゲームですどうも
[00:01:04.119] こんばんはお久しぶりじゃないでしょうか
[00:01:06.960] ちょっとあミーちゃんこんばんは耳豚と
[00:01:09.759] おめえみーちゃんだったんだな名前変わっ
[00:01:11.320] たんだなえり
[00:01:12.840] こんばんは今日もえダラダラレトロゲーを
[00:01:16.479] やりますあのもう聞かないでくださいね
[00:01:20.960] ドラゴンクエストモンスターズ3どうなっ
[00:01:22.960] たんですかとか
[00:01:24.759] うるせえうるせえうるせえいいんだ俺が
[00:01:28.119] やりたいことをやるそれが俺の配信って
[00:01:30.520] ことでねやってきますから今日もえ
[00:01:32.799] ダラダラとあどうだろうな明日日曜やろ
[00:01:36.680] クリアまでやりたいけどまでも長いこと
[00:01:39.119] やりますわ明日の夕方ぐらいまでやろうか
[00:01:40.880] なと思とります思とりますからええええま
[00:01:46.520] だらだらやりますよ今日もねドラクエ5
[00:01:47.960] どうなったんですかドラクエ5って何です
[00:01:51.000] かドラ食い気味食い気味に検討するえ何
[00:01:55.200] ですかドラクエ55って怖いなしもきん
[00:01:57.640] ちゃんどうもこんばんはだドラクエ5はで
[00:02:00.280] ドラクエ後のリベンジやりたいよなでもな
[00:02:03.439] 年末やって
[00:02:05.240] いいまた今年も今年も去年の年末よろしく
[00:02:10.080] あの去年の年末は去年クリアできなかった
[00:02:13.000] ドラゴンクエスト1のリベンジつってやっ
[00:02:15.519] たんよ20時間30時間ぐらいかけて
[00:02:18.440] ドラクエ5年末リベンジかありだよねまた
[00:02:22.120] ねあまたその
[00:02:30.000] だろうかよ雷人って何年越しでやる
[00:02:33.840] のやみんな雷人好きなからお前らあれだな
[00:02:37.040] あれ好きなんだなあの何あの格闘
[00:02:41.480] 技格闘技好きなんだね
[00:02:46.560] やっぱりあれとか見てんのかなあの大晦日
[00:02:50.159] にやってるあそう大晦日なんだな理人
[00:02:53.879] ってすきの格闘技な人気だよねあのの時間
[00:03:00.159] には多分もう終わってあそうなんだそうな
[00:03:02.879] ん
[00:03:03.519] だ格闘技わかんないブレイキングダウンの
[00:03:06.599] 面白いやつしかあいおこんばんはおお疲れ
[00:03:10.200] え今日
[00:03:11.599] もだらだらレトロゲやりますと
[00:03:14.720] えータイトルになる通り今日はですねあの
[00:03:18.480] ファビコンの月風魔をですね誰も知らな
[00:03:24.159] そうあれしかもごめんあ時間測ってなかっ
[00:03:27.239] た間時間測る必ないんだけどね誰も知らな
[00:03:30.439] そう誰も知らないと思いますけど風まで
[00:03:33.239] 下風じゃないよ月風魔ねですか過去にやっ
[00:03:36.599] てなかっやってるやってるやってないよ
[00:03:38.159] やってないやってないやってないやって
[00:03:39.720] ないやってないちょっと触っただけあのゲ
[00:03:42.920] 風まるんですよ国民的超国民的対策ゲーム
[00:03:47.280] あの月風魔を今日はやってきたいと思い
[00:03:50.360] ますまあやっぱこういうあれだよ今日は
[00:03:53.319] やっぱあのこういうやっぱ土日はさレトロ
[00:03:56.519] ゲーだらっと長時間やるのが一ちゃんいい
[00:03:58.280] わけ今日も俺本当仕事ねちょっとねでき
[00:04:01.200] なかった昨日の夜とかな申し訳ないんです
[00:04:02.760] けどてかやべえま最近配信頻度落ち
[00:04:06.799] 落ち配信頻度おちおちおちおちあそうです
[00:04:11.280] 月フーマに会いません月フーマにねい
[00:04:13.720] ちゃんこんばんはえあAIの曲作ったAI
