[00:00:08.440] ういお
[00:00:10.380] [音楽]
[00:00:18.840] 疲れこんばんはだめだめ
[00:00:22.390] [音楽]
[00:00:36.480] 邪魔すん
[00:00:39.350] [音楽]
[00:00:50.320] でお邪魔しますっと
[00:00:55.030] [音楽]
[00:01:04.879] リリパクパクリリリパクパクリリリ
[00:01:08.439] パクパクはいどうもこんばんははいチマ
[00:01:11.439] ゲームですどうも主人さんこんばんはもこ
[00:01:13.640] ちゃんもこんばんはえさんこんばんはおい
[00:01:15.960] りたんさんお疲れイベントありがとう
[00:01:18.640] ございましたイベントありがとうござい
[00:01:20.799] ましたともきちゃんもお疲れちゃんロ
[00:01:24.320] ありがとうはいちゃんこんばんはお久し
[00:01:27.200] ぶりですお久しぶりぶりですなんか自分の
[00:01:31.240] チャンネルでしっかり配信するのすげえ
[00:01:33.079] 久しぶりな感じするわなんちゃ最近色々
[00:01:35.479] 本当にありがたいことにねいろんな
[00:01:36.920] イベントとかあーだのかーだの呼ばれてて
[00:01:39.840] ねお呼ばれされしててねありがとうござい
[00:01:41.680] ます誰ちゃうねんみんなお疲れ久しぶり
[00:01:44.159] ましなんか星買ってんでやねんなんでや
[00:01:47.320] ねんなんで俺が買うねんいやまあねま確か
[00:01:50.000] になでもなでも確かになあの僕はあのあれ
[00:01:53.600] もらあほっちんお疲れじゃんほっちんお
[00:01:55.600] 疲れそうあの昨日あう昨日かお疲れあの
[00:02:01.840] 昨日ねえっとこの今来てくれてるリリリ
[00:02:05.840] たんリタンちゃんとえしねしちゃんの
[00:02:09.959] イベントパーティーアニマルズというね
[00:02:12.640] あのあ見てたそう参加させていただきまし
[00:02:15.920] て1ありがとうございますござい
[00:02:19.800] ます優勝して
[00:02:22.080] 靴下どんだけいい靴下どんだけいい
[00:02:24.920] 5000円の下俺も下欲しい下買おうかな
[00:02:27.920] じゃ俺もなんと
[00:02:30.800] ましあと優勝させていきましてですねいや
[00:02:34.519] いい思いしったね
[00:02:39.159] コメそしたらががなんかあのシグネのとこ
[00:02:44.720] で初見ですみたいなこと言ってあれは見た
[00:02:48.239] うんそしてさあれよちちいるじゃんちくの
[00:02:53.080] 旅あいつなんかアギ当たってた
[00:02:55.800] ぜあいつなんかギ3000当ってたよ
[00:03:00.840] ちくらがなんかあのアギ3000当たって
[00:03:03.280] たわなんか俺のおかげですごこれちょっと
[00:03:06.599] 2000円は俺がもらわないとなおちくら
[00:03:08.560] いたおおめえあれだアギフ当たってたよ
[00:03:11.000] おい豚来たようんさんお疲れうんちゃんお
[00:03:13.200] 疲れちくらもお疲れアギ服
[00:03:16.200] かさ良かったねちくらねちくらお疲れ
[00:03:19.760] ありがとうねありがとうねっていうか信じ
[00:03:21.080] てくれてありがとうございますあの調車
[00:03:22.480] 予想でなんと僕が優勝したんでちの旅さん
[00:03:25.480] 3000円当たりましたおめでとう
[00:03:26.799] 2000円は俺に起こせよ2000円は
[00:03:28.840] お前ビッツ投げろよ
[00:03:30.519] 2000円は俺にビッツ投げろよお前
[00:03:32.680] 当たり前だよなあ初台払えよヤザと一緒だ
[00:03:36.840] から寝ぼけフロアなだ寝ぼけフロエアはう
[00:03:39.799] ございますいやそんな感じでね当たり前
[00:03:42.920] だろ当たり前だろか当たり前だっ誰が俺が
[00:03:46.239] 優勝したから
[00:03:48.120] でしょまそう冗談ですけども冗談ですけど
[00:03:51.519] よかったね3000円どういうあれで
[00:03:53.799] もらえんのかそれよくわかってないから
[00:03:55.200] ちょっとなんかよくわかんないけどなんか
[00:03:57.200] TwitterかDMか今日まねえって
[00:04:00.040] お前もう飽きねえなないじゃん俺がマリカ
[00:04:03.000] やってんの見たことない
[00:04:04.480] じゃんいつかちょっと気が向いたらやるわ
[00:04:07.599] うんごめんないつもいつも聞いてくれて
[00:04:10.920] ありがとう今日
[00:04:12.680] は今日はリミ使います今日はですね
[00:04:15.280] ドラゴンクエスト4じゃない5いや多分ね
[00:04:18.359] ままだまだあれなんよ多分あの終わって
[00:04:20.359] 色々バタバタしてるまだそのう来るから
[00:04:22.000] 待っ
[00:04:22.759] とけ
[00:04:24.600] えとドラゴンクエスト5の人生縛り10日
[00:04:28.000] 目ということで来たねてか久しぶりなんだ
[00:04:31.080] けどかなりかなり久しぶりなんだけど病気
[00:04:33.960] だから仕方ないよ何何何が病気な何が病気
[00:04:37.280] な全全滅飛ぶ
[00:04:40.440] 予定いいよぶうんあのもううちのうちの
[00:04:44.080] リスナーにあげなくていいや別に頑張って
[00:04:46.280] ろなことには使えないだろこれちくら
[00:04:48.960] 3000円って何買うのちくら3000円
[00:04:51.759] もらったら何買う
[00:04:53.560] の3000円あったら何買うのでもさ
[00:04:57.520] めちゃくちゃ今回のイベント今回の
[00:04:59.199] イベントのイベントさすごいのよあの商品
[00:05:03.919] がめちゃくちゃな金額だよ本当にいや
[00:05:07.440] あんまり金額を計算するのは不粋なんでし
[00:05:09.759] ませんけど結構お金出てるよね本当に
[00:05:13.360] すごいと思うマジでいやありがとうござい
[00:05:15.240] ますリたんちゃん本当にあの改めてご苦労
[00:05:17.840] 様ですご苦労様ですんだお疲れ様でした
[00:05:19.840] いや最高のイベントだったマジで優勝でき
[00:05:22.000] てよかったわ普通に裏で練習してたから
[00:05:26.440] なま今日もドラクエをとやっていこうかな
[00:05:31.560] と思っておりますから共産のおかげです
[00:05:35.440] あざましたあざました共産っていいな共産
[00:05:39.120] おめえらもあれな俺がイベントやる時さ
[00:05:41.120] あのドネル投げろよ
[00:05:43.680] な頼りまくろみんな
[00:05:46.919] にあどうもおはようございますどうも
[00:05:50.160] こんばんはどうもこんばんはちゃまゲーム
[00:05:52.280] ですいや20以下のやつからは取らねえよ
[00:05:55.280] 成人してねリスナーから取らねえからど
[00:05:57.600] うわじゃねえどうもこんばんははるよ米は
[00:06:00.720] ま米はねどうもこんばんは蛍光デブです
[00:06:03.199] どうも蛍光デブ今日はですね今日もですね
[00:06:05.960] ですあ出するありがとうございます全然
[00:06:08.360] 痩せてねえ全然はいどうも今日もやってき
[00:06:10.840] ますドラゴンクエストを白飛びして
[00:06:13.680] 見えこれなこれやってきますから今日も
[00:06:16.560] よろしくお願いしますおこなちゃん
[00:06:18.120] こんばんはどうもチマゲームですやってき
[00:06:20.599] ます
[00:06:21.319] からなんかこの鼻のさここのコバなん
[00:06:24.120] ところがめちゃくちゃ赤くなっちゃったん
[00:06:25.360] だねすごい気になる今割ってねれ
[00:06:30.520] じゃねえよれじゃねえよなんかバグって
[00:06:32.560] 確かに我みたいななんか違法ダウンロード
[00:06:34.759] みたいな感じになったけど本当に実機で
[00:06:36.919] やりますから実でねこれ3万もしたんだ
[00:06:39.039] からこのパソコンに出力できるDS使って
[00:06:42.440] いきますから今日も
[00:06:45.039] ねマジコンじゃねつマジコンじゃ
[00:06:49.360] ねつマジだってマジコンじゃなくてマジの
[00:06:52.400] やつはいやってきますからはいやっていき
[00:06:54.960] ますから今日もこちらの天空の花嫁やっ
[00:06:57.639] てきますいや久しぶりじゃねプロアプロ
[00:07:01.639] 懐かしい俺わざポンだった
[00:07:04.919] よ俺のじゃなかったけど友達のやつわざ
[00:07:07.960] ポンわざポンで色違いのポケモンだけ出る
[00:07:10.280] ようにしてもらった小学校の時わざポン
[00:07:14.160] な
[00:07:19.039] 懐かしいやります
[00:07:22.759] から久しぶりめちゃくちゃ久しぶり5日
[00:07:27.199] ぶりぐらいじゃねポ合しときましたわポン
[00:07:30.639] はセーフだろうがわポンもアウトえプロえ
[00:07:34.879] ごめんあのオフレコで聞きでいいプロアと
[00:07:38.960] かさ技ポンてアウトなのま僕は持ってませ
[00:07:42.120] んでしたけどね
[00:07:46.880] [音楽]
[00:07:49.080] パパパ
[00:07:50.919] うまし糸うまし今日も飲んでます今日も
[00:07:55.000] これおセピアメントカミングジャパニーズ
[00:07:58.319] グレイトドリンクフルーツミックスボス
[00:08:00.879] クラフト行きましょう改造だから一応
[00:08:03.879] アウト一応アウトかじゃあやってません
[00:08:06.879] じゃあ知らない何わポンてチルアウトの
[00:08:08.840] 案件切れた
[00:08:10.919] 感いやチルアウトも好きですチルアウトも
[00:08:14.120] 好きですあんあんなものとか言わないいや
[00:08:17.280] いい飲み物だよあれはあれはいい飲み物だ
[00:08:19.639] よマジでマジでなマジでいい飲み物だと
[00:08:21.360] 思いますあれは本当に好きいや早く飲み
[00:08:24.280] てえ
[00:08:26.599] なあんまりこういうこと言っちゃダメなか
[00:08:28.919] もしんないけどおもしれえ案件来たよ詳細
[00:08:32.399] は言わないけどステマですかステマじゃ
[00:08:34.839] ない大ステマってなんか犯罪になるらしい
[00:08:36.760] じゃんステ間ってなんか犯罪になるらしい
[00:08:39.080] ね大魔しかしてかない
[00:08:41.200] よおもしれえ案件が来たんだよ
[00:08:44.600] ね
[00:08:46.560] 作画今日作画崩壊してる作画崩壊してる神
[00:08:51.240] 作画だろうが何何エスタで言わずロンド
[00:08:54.800] オブブラッド30年
[00:08:57.440] おおアニバーサリーデイだね
[00:09:00.160] もうアニバーサリーデイだねなんかね
[00:09:02.959] アニバーサリーデイね待てとりあえず
[00:09:05.320] レベル上げしていいかとりあえずレベル
[00:09:07.760] 上げしていいかレベル上げねデボカスが
[00:09:11.160] 死ぬんだっ
[00:09:13.360] てねこれさはめたがりして顔に
[00:09:20.200] がいいじゃねか山田花子好きだよ山田子
[00:09:24.600] 好きだよねも敵が強えんだって待ってマジ
[00:09:28.560] で全滅
[00:09:30.000] おいちょっと待って待て待待って待て待っ
[00:09:32.920] て待てなんでなんでこいきなりなんでこ
[00:09:35.560] いきなりやばいことなってん
[00:09:37.760] のた意味がわからんけけけま重んない重ん
[00:09:43.760] ない重んない重んないキリいや重んない
[00:09:46.240] 重んない重んない重んない重んないマジで
[00:09:48.320] 重んないからいやマジで重んないいやマジ
[00:09:52.000] で重んないはいマジで思ないです
[00:09:55.519] 盛り上がってまりました断した
[00:10:00.740] [音楽]
[00:10:02.519] でいやマジで重んないマジで重んないマジ
[00:10:04.920] で重んない白い重んない重んない重んない
[00:10:07.680] 1も面白くないこんなマジで重んないマジ
[00:10:09.920] で重ん
[00:10:18.680] ないやった間違俺間違った間違ったな
[00:10:21.880] 間違ったなあ間違ったな間違ったなあら
[00:10:28.690] [音楽]
[00:10:30.079] 逃げるの禁止リレと
[00:10:32.440] 禁止パティからが消えあやべあれだどうも
[00:10:37.120] こんばんはさんこんばんはちょっと待っ
[00:10:39.399] ちょっと待って違うあのね座禁止だ座禁止
[00:10:44.160] 縛り忘れて
[00:10:45.959] たざ
[00:10:49.040] 禁止いや逃げ逃げるの禁止逃げるの
[00:10:52.720] 禁止になっ
[00:10:55.200] て棒読みちゃんちっちゃさんこんばんは読
[00:10:58.639] ちゃんちっちゃちょっと
[00:11:00.639] あげよう棒読みちゃんってでもどうなん
[00:11:03.160] だろういつか俺棒読みちゃんを卒業してん
[00:11:05.240] だよ
[00:11:06.360] ないつかは防衛道ザオラルはかうん
[00:11:09.800] ザオラルはかだよでもザオラル覚えてる人
[00:11:12.440] いないのおザオリクしか覚えてねえんだ
[00:11:15.120] こいつザオラルっていうのは禁止にいや
[00:11:18.600] ザオリはだめザオラルはオッケーザオリっ
[00:11:21.040] ていうのは100%満で回復できるのね
[00:11:23.959] ザオラルは50%ぐらいで半分で回復
[00:11:31.120] よしまじっ
[00:11:43.600] てドラゴンズだ思い出したこれだ
[00:11:48.920] 黙れよしよしよしよし頑張れ勇者
[00:11:53.320] あぶねえいや危な頑張れビブレ危な危な
[00:11:57.399] 危な危な危なこれダメだってここダメだっ
[00:12:02.440] てこんな
[00:12:04.279] のえちょっと俺レベル上げに行く
[00:12:07.440] わおゼトもお
[00:12:09.560] 疲れレベル上げしに行き
[00:12:12.519] ますこんなんちゃ無理やてか敵強すぎやろ
[00:12:17.480] おテンポ悪いテポ悪いテンポ悪いよテンポ
[00:12:20.160] 悪いよああこいつバカだ本当に
[00:12:25.639] ねちょっと待て
[00:12:29.360] 本にこれはちょっとね世間は許いやレベル
[00:12:32.160] 上げは世間が許すから世間が許さなくても
[00:12:34.639] 俺が許すてになんだ新作2本って新作2本
[00:12:39.680] ってなんだよ何やったのだからもうセーブ
[00:12:42.839] しないって言ってるよ
[00:12:44.720] [音楽]
[00:12:48.279] ね
[00:12:51.079] ますちょデボラが弱すぎんだ
[00:12:54.480] よパイダーマン2とマリオン
[00:13:00.160] だ行く行くなんでそれ絵出ないの行くの絵
[00:13:03.760] が行くの絵がなんか出ないんだ
[00:13:05.760] けどくのさ俺の絵が出
[00:13:10.000] ない
[00:13:11.720] [音楽]
[00:13:14.240] う俺別もトリトントリトンのビッツには何
[00:13:17.519] も何も反応しないから行ってないからか
[00:13:20.760] 行きそうなんだけど
[00:13:22.880] ねはいセーブしましょうセーブセーブ
[00:13:25.480] セーブセーブじゃね回復宿屋だ宿屋
[00:13:29.800] よしよしレベル上げしに行こうビ無視です
[00:13:34.000] 1ビは無視しますブ嘘嘘嘘嘘嘘いやなんか
[00:13:39.320] トリトンのビビはなんかありがみ感じない
[00:13:41.839] んだもんも投げられない貧乏黙ってあそう
[00:13:46.240] だよそうそうそう
[00:13:51.079] そう嘘嘘嘘ビッツもサブスクもせでみんな
[00:13:56.360] 一緒平等
[00:13:59.320] 平等員報道ですここはこれルーラ行けんの
[00:14:05.000] えーちょっと
[00:14:07.720] どこえハグメタってどこでちょも調べよう
[00:14:11.600] かな俺ねメタルキングってどこで出んの
[00:14:14.440] まだ出ないメタルキングっ
[00:14:17.600] [音楽]
[00:14:24.000] て答えは沈黙出はず出ないんだはぐメタは
[00:14:29.240] はぐメタはぐメタどこ出たっ
[00:14:32.160] けあれか流この迷宮で出るよどこやねん流
[00:14:36.120] この迷宮ない
[00:14:38.399] やんいやこれここレベル上げすんの相当
[00:14:41.720] きつい
[00:14:43.200] [音楽]
[00:14:44.959] よ相当きついよ
[00:14:50.320] これドラクエBだったごめんどんだけ
