[00:00:19.880] ジマゲームさんコメントお待ちしてま邪魔
[00:00:23.680] ゲームさんす
[00:00:25.810] [音楽]
[00:01:00.120] DET
[00:01:01.130] [音楽]
[00:02:21.120] ゆさん
[00:02:23.239] こんばんはおゆうここんばんはお疲れ
[00:02:26.720] ちゃんういお疲れお疲れ
[00:02:34.200] 宿題やったか宿題はやったか
[00:02:45.120] ちゃんとゆさんやりましたえらいえらい
[00:02:50.720] ねすげえなちゃんとやるんだな何してんの
[00:02:54.959] 今よいしょゲームしてるゲームしながら俺
[00:02:58.720] の配信見てんの
[00:03:00.800] エペやってんのエペエペやってんのかゆ
[00:03:05.000] さんアロラもう乗り換え
[00:03:07.959] てるエペ飽きたエペはもう飽き
[00:03:11.480] た飽きたか
[00:03:14.850] [音楽]
[00:03:34.200] ゆさん飽きてはないですあそうなんだ
[00:03:36.560] どっちもやるんだすごいね今度一緒に
[00:03:39.439] やろうな今度配信で一緒にやろう
[00:03:42.360] よAPEXやろう
[00:03:49.000] ねゆさんいいですよいいねまま今度な今度
[00:03:56.239] 今度あのお父さんも一緒になDET
[00:04:02.010] [音楽]
[00:04:58.639] あOG
[00:05:19.070] [音楽]
[00:05:58.639] DET
[00:06:25.970] [音楽]
[00:06:28.560] DET
[00:06:43.240] [音楽]
[00:06:58.520] DETDET
[00:07:11.380] [音楽]
[00:07:43.960] やるか
[00:07:45.550] [音楽]
[00:07:48.159] じゃあはいどうも
[00:07:50.440] こんばんはたまちゃんと申しますはい行き
[00:07:54.039] ます何これ
[00:07:55.199] 行きますか
[00:08:00.039] 久しぶりに来たなこの感じ来た
[00:08:02.599] なあれコントローラーがねちょっと待った
[00:08:06.639] あったあ
[00:08:12.599] よしおそらく
[00:08:15.240] 今日
[00:08:18.159] えエンディングを迎えることになるんじゃ
[00:08:20.919] ないかな
[00:08:23.479] とあ文化祭は小屋を選ぶこれな前回えと
[00:08:29.199] さん教えてくれた情報がメモする場所が
[00:08:32.320] なかったら画面にメモしたわこれな
[00:08:35.120] ありがとうこれは忘れない行きましょう
[00:08:38.760] 覚えてますかこれさブーってこと何なん
[00:08:42.159] だろうなどうしてもなっちゃうんだよな
[00:08:44.680] どうしてもなっちゃうんだよ
[00:08:47.240] ね覚えてます
[00:08:49.440] か恋人たちに祝福を与えるあの金の伝説
[00:08:56.959] をそれもではもう遠い
[00:09:00.959] 昔思い出になってしまった金の
[00:09:05.030] [音楽]
[00:09:06.120] 音で
[00:09:08.920] も目を閉じれば聞こえてくるちょ見よっか
[00:09:13.000] な今日最後かもしんねえからあなたの心に
[00:09:16.000] ある今日最後かもしんねえからな見ようか
[00:09:19.800] だから忘れないでこれめっちゃノイズ
[00:09:22.600] うるさくないの思いが伝説の金を鳴らせる
[00:09:27.279] こと
[00:09:32.680] すげえノイズうるせえこれなん
[00:09:35.600] でオープニング
[00:09:51.440] みたい
[00:09:53.079] あのこんなことさあの覚えてオープニング
[00:09:57.839] 流れてのかなんで
[00:09:59.959] なんでオープニング歌流れんかと思っ
[00:10:02.600] こんなこと言うのすげえ久しぶりなんだ
[00:10:04.440] けどさすげえ久しぶりに1個言って
[00:10:07.839] いいよかったら皆さんコメントして
[00:10:12.880] ねちょうるさ何このブーブーブーブー言っ
[00:10:16.519] てんのマジで
[00:10:19.640] え本当に何なんだろう
[00:10:29.680] あ消えた
[00:10:33.320] ロこれこのゲーム小学生相手にするゲーム
[00:10:36.200] じゃねえんだよなまやってきますわ知ら
[00:10:40.240] ねえかんな見逃しても
[00:10:43.600] タグおはようおはようございます頑張ろう
[00:10:46.680] ね
[00:10:47.959] はいイスで追い込むでしょう目だろう
[00:10:52.519] がまやまったりやってこうぜいや今日
[00:10:55.279] エンディングになっちゃうぜ多分
[00:11:01.399] なあ裕子な裕子だけだよ俺の配信見に来て
[00:11:05.160] くれん
[00:11:08.079] の
[00:11:12.680] なああんだよなやっぱな配信ってのはさ生
[00:11:17.519] 放送なわけじゃん動画と違ってやっぱさね
[00:11:21.320] こう本当誰も来ない時あるよ
[00:11:24.480] ねさやってきましょうかねえと前回どこ
[00:11:28.399] まで行ったでしょうこれはも3年生ですね
[00:11:30.320] 高校3年生の9月30日もう今日で行くね
[00:11:34.480] これはちょカレンダーを見ましょうデート
[00:11:38.959] の約束がえ10月10日入ってますねこれ
[00:11:42.800] 忘れないようにしましょうね来週かえ雑誌
[00:11:46.160] を見て一体どこなんか新しいイベントが
[00:11:48.959] あるのか落ちるが11月からありますね
[00:11:52.839] 新しいはいワルツくお疲れ
[00:11:56.639] じんわくお疲れ
[00:12:00.920] 久々に俺言ったよ俺久々に配信つけて久し
[00:12:04.800] ぶりに言ったこれ久しぶりに1個言った
[00:12:07.320] ことがある皆さんよかったらコメントして
[00:12:09.760] いってね久しぶりに言っ
[00:12:11.920] た配信始めたての頃毎日言ってた
[00:12:16.959] けど久しぶりにちょっと今日どうしたん
[00:12:19.120] だろうねみんなね消えたかみんなみんな
[00:12:22.360] もしかしたら地球滅びたかもしんない俺
[00:12:25.199] 以外やってきます
[00:12:28.160] え
[00:12:31.360] えっとまあでももうマンパ順風マンパと
[00:12:36.199] 言えば順風満パストレスも0えー容姿87
[00:12:39.839] いや用紙は100
[00:12:41.560] 保つ運動75芸術82全然いい感じだと
[00:12:45.800] 思うけど
[00:12:49.000] ねさて帰ろうと君はい来た久しぶりじゃん
[00:12:54.839] 久しぶりじゃんよなんか久しぶりだわそ
[00:12:57.600] 昨日やってねえもんな
[00:13:00.040] やあ光りどうしたの待っててよかったもう
[00:13:03.360] 好きなんですよ実は皆さんこのこの子俺の
[00:13:06.720] ことめっちゃ好きなんすよ
[00:13:08.399] ねうんいいよ一緒に帰ろうよかった行って
[00:13:12.079] みるもんだねいや行ってみるもんだ言わ
[00:13:13.959] なくても一緒に帰るけどなもうここまで来
[00:13:18.920] たら下校中のイベントも特にねえんだなあ
[00:13:22.959] 用紙磨磨く100以上ねえと女の子に嫌わ
[00:13:26.079] れちゃうんでね
[00:13:30.040] おなんかイベントありたねあなんです
[00:13:36.560] かなんだ一体今年の文化祭は各クラスで物
[00:13:43.320] をすることにしたのじゃなるほど
[00:13:46.000] 何をやりたいか考えるように
[00:13:50.399] え以上へいいねクラスで立ちとかなかった
[00:13:54.759] もんなん
[00:14:01.320] かクラスで出し物ねじゃしばらくの間みて
[00:14:07.040] か先生がいいなこのこの人な
[00:14:11.720] の何やるんだよよあポカリ久しぶりやじ
[00:14:18.759] お前は何かやりたいことがあるかい出し物
[00:14:20.880] さ演劇にしないなんで
[00:14:24.800] 演劇なんでお前が1回ああいうのの脚本と
[00:14:28.800] か演出とかしてみたくってさたったそれ
[00:14:31.680] だけのことでお前クラス全員巻き込むのか
[00:14:34.880] よお前が
[00:14:36.920] かそう俺
[00:14:40.920] はあまあ考えとくよよろしくな匠の確撃か
[00:14:45.680] ちょっと興味あるなさてどうしようあこれ
