[00:00:10.480] D
[00:00:40.200] ジマゲームさんコメントお待ちしてまジマ
[00:00:44.000] ゲームさん
[00:00:49.130] [音楽]
[00:00:58.920] す
[00:01:03.180] [音楽]
[00:01:28.920] OGDET
[00:01:35.370] [音楽]
[00:02:06.360] ういお疲れあ疲れちゃんシャープ
[00:02:11.800] シューターさん
[00:02:13.640] こんばんはさあ
[00:02:16.920] またまた熱狂の1週間が始まる
[00:02:20.170] [笑い]
[00:02:22.560] よついに来まし
[00:02:25.440] たんお疲れお疲れちゃん
[00:02:30.000] 週間が始まる
[00:02:30.760] [音楽]
[00:02:31.879] ぜえ僕にかつてこんなにねさん疲れはい
[00:02:39.159] さんお疲れちゃんさんお疲れちゃんすっと
[00:02:41.319] 出たよ今日は今日はすっと出たよ人さんお
[00:02:43.879] 疲れちゃん2マジだよ2
[00:02:46.920] おいかつて俺にこんなにもぴったりな
[00:02:50.159] ゲームがあったでしょうかえね俺自分で
[00:02:54.480] 言うのもなんですけどもめメモリアル配信
[00:02:57.959] させ
[00:02:58.840] たさせたらえ右に出るものはいないと言わ
[00:03:01.840] れましたちゃまと申しますよろしくお願い
[00:03:03.560] します今日からねえ来週1週間かなえ
[00:03:07.480] おそらく1週間わかんないどんぐらい
[00:03:09.040] かかるかわかんないんだけどえやっていき
[00:03:11.000] ますよと
[00:03:14.799] ねいやなんでしょうね俺今まで結構
[00:03:19.159] あのいろんなレトロゲームのさん誰狙うあ
[00:03:23.360] それはちょっとね1周目はもう決めてる1
[00:03:26.400] 周目は正直決めてるそれはまあまあ
[00:03:28.040] おいおい話しますけどもえーなんだっけ俺
[00:03:32.280] 今まで結構こうレトロゲーマーで1番が
[00:03:35.959] 似合う男
[00:03:37.720] ちゃまね口が悪いところもありますがそれ
[00:03:41.080] は愛ゆということですね女の子に暴言を
[00:03:43.519] 吐くこともありますかもしれませんがま
[00:03:46.040] それは愛を込めてということでね好きが
[00:03:47.920] ゆえにな好きがゆえに
[00:03:51.040] おっとグキさんフォローありがとうござい
[00:03:53.560] ますあれグキさんってなんか
