[00:00:10.000] ういお
[00:00:26.119] 疲れはいいや今ちょっと
[00:00:31.000] マイク遠いかもしんない
[00:00:36.320] 今セットした
[00:00:38.480] からマイク遠いかもしんない
[00:00:42.160] こパソコンのとこにないのよマイクがどう
[00:00:45.800] も
[00:00:47.120] こんばんはいやいやいやどうもこんばんは
[00:00:51.760] いちゃま
[00:00:53.800] ですと
[00:00:55.879] 申しありますよサクっとなんかそんやん
[00:01:00.199] ねえよ長々とやんないいや棒読み入れて
[00:01:02.640] ないよ棒読み入れて
[00:01:06.119] ない入れてもいい
[00:01:10.360] かちょちょっと待ってねごめんねちょ
[00:01:12.560] ちょっと待ってねちょっと待っててごめん
[00:01:14.479] ねイベントお疲れ様
[00:01:20.000] よしあああああこれ聞こえてん
[00:01:27.400] のワンドリンクせい
[00:01:30.560] あリカルさんこんばんはイベントお疲れ
[00:01:34.880] ちゃんおはようドリンク1人500500
[00:01:39.000] ビッな参加費あおごますあちょっとね今日
[00:01:45.040] ねマイクでかいかなマイクでかい
[00:01:48.640] お音もかなりでかくしてるんだよね超
[00:01:51.799] うるさいもしんないどうも
[00:01:53.399] こんばんこんばんは
[00:02:05.630] [音楽]
[00:02:28.840] か何からやろう何から回そっか
[00:02:35.239] な
[00:02:37.080] そんなおしくライブ前に引き替えて飲む
[00:02:40.800] からつ
[00:02:41.800] もこんみちゃんが見たいってきたよナイス
[00:02:53.599] らないいらいらないよいしょマイクが遠い
[00:02:59.000] かも
[00:03:00.360] マイクが遠いかもしん
[00:03:02.040] ないよいしょとうも
[00:03:06.519] こんばんは
[00:03:08.280] みがしてきた
[00:03:12.640] ありがとうこんばんは
[00:03:15.840] こやみがしてくれた遠いけど大丈夫
[00:03:19.519] ちょっとねあのねマイク
[00:03:22.120] 遠宮
[00:03:24.760] 餃子丸
[00:03:30.040] ありがとうありがとうポンポコ様
[00:03:32.239] チャンネルはここ1度見てみてねURL
[00:03:35.200] 省略TTテレビポンポコ003最近やって
[00:03:39.120] もう嫁疲れたこんばんはこんばんは
[00:03:41.840] こんばんはこんばんはパクっとDJやって
[00:03:46.159] 2時間時間もやんないかもしんない1時間
[00:03:48.319] ちょいやってシャウトアウトって誰でも
[00:03:51.200] でき
[00:03:53.760] こんばんは寝ないいや普通にゲームやるよ
[00:03:56.680] ゲーム
[00:03:57.519] やるいや普通にッやりたいし
[00:04:01.200] も人記念配信ってやってるけど言ってる
[00:04:04.640] けどなんかシャウトアウトコマンドは誰で
[00:04:07.480] もいけるあの人と
[00:04:09.599] か形式やっとこうかなっていうだけで
[00:04:16.320] ゲームにこ最近流行りの応援のやつはやり
[00:04:20.120] 方
[00:04:20.880] わからさんありがとうございますあ
[00:04:24.160] ベなんじゃ
[00:04:28.720] ないレイドからこんばんははいさん
[00:04:31.600] こんばんは
[00:04:32.600] ありがとう1000人おめでとうござい
[00:04:34.919] ますテ100それがシャウトアウトじゃ
[00:04:38.199] ないの100ビッツエブリンギベソメヒー
[00:04:42.320] ペアンロベフアありがと100100限ら
[00:04:46.680] れてるのかな限られてると思うよ多分あれ
[00:04:49.720] 応援できるのは応援コマンドってあれ多分
[00:04:52.400] まだ分かんないけど
[00:04:56.000] う早いも元々ずっとやってるそも一応通称
[00:05:00.840] のシャウトアウトえシャウトアウト
[00:05:03.480] [音楽]
[00:05:07.759] は
[00:05:10.160] ありがと様チャンネルはここ1度見てみて
[00:05:13.680] ねURL省略Tテレビ最近やっている
[00:05:19.280] ゲー
[00:05:22.759] れ
[00:05:28.639] てあとございます1000人記念
[00:05:33.080] ありがとうありがとうございますサクっと
[00:05:37.319] 適当に回してあのゲームに行きます
[00:05:41.919] 1000人来たちょっと雑談もしようかな
[00:05:43.520] 思った
[00:05:45.360] ね雑談もしようかなと思とりますけど
[00:05:54.520] もさなかなんかノリでさやるとか言っ
[00:05:58.280] ちゃってさあのマジでほぼほぼ何も考えて
[00:06:01.680] ないからちょっとに期待しないで
[00:06:05.199] ほしい期待しないでほしい
[00:06:08.080] な
[00:06:10.199] 1111おめでとう2時間ほど眠と戦って
[00:06:16.440] てつかった初やから楽しみやねんござい
[00:06:20.240] ます
[00:06:21.199] ギベペ
[00:06:23.759] アロ2ちゃんタル
[00:06:27.800] 7ピザ1万配信じゃないのましたねどちゃ
[00:06:32.240] ゲームが今日は何1年ぶりぐらいちゃうか
[00:06:35.759] ねやるおあのお正月に1回やったきりだね
[00:06:39.400] お正月に1回やったきです
[00:06:41.800] ねも始めちゃおうか
[00:06:46.039] なババンこちらでございますこちらで
[00:06:50.039] ございますショートとザメだようお実家
