[00:00:29.720] ສ
[00:00:38.645] [音楽]
[00:01:12.439] 囚人さんさんが5
[00:01:13.600] ドルでサブスクしました。
[00:01:15.759] 55ヶ月目です。
[00:01:17.840] 快
[00:01:26.640] ピース、ピース、ピース。
[00:02:19.516] [音楽]
[00:03:01.680] お疲れ。
[00:03:02.159] はい、どうもこんばんは。ジャムゲームです。はい、どうもやってきます。えー、リーウィさんこんばんは。え、囚人さんこんばんは。
[00:03:09.879] 100連続視聴ありがとうございます。
[00:03:12.840] 100
[00:03:13.040] 連続視聴ありがとうございます。と、え、
[00:03:15.159] 55
[00:03:15.799] ヶ月目のサブスクもありがとうございます。人さん、どうもこんばんは。なちゃんもこんばんは。はい、やってきますよと。
[00:03:20.840] やっどうもこんばんは。
[00:03:23.080] 今日ね結局ですね。結局前回ドラクエモンスターズあんだけやってもう満足したんだけど何やるか
[00:03:33.439] 結局エロ
[00:03:34.280] 結局エロなんよ。毒茶みて食欲消えせました。こんばんはガーデン
[00:03:36.152] [笑い]
[00:03:41.040] 2団て何か嫌なことあったんだ。
[00:03:43.120] のんびるさんこんばんは。のんみるさんもこんばんは。結局何やろうか迷ったらエロなんよ。結局エロなんよ。
[00:03:45.322] [笑い]
[00:03:52.560] ってことで今日もエロをエロをしんでいき
[00:03:56.799] たいと思います。すいません。いいですか
[00:03:58.879] ?今日エロやらせてもらって。[笑い]
[00:04:02.840] いや、なんかレトロゲームやりたかったん
[00:04:04.720] だけど。レトロゲームやりたかったんだ
[00:04:07.400] けど。なんかもう思いつかんかった。何
[00:04:08.760] やっていいかやっていやいっぱい
[00:04:11.079] あったんだけど。そうエロんやねん結局。
[00:04:13.079] なんでちょっと僕あのバニガーデ2周目
[00:04:15.599] ですね。バニガデ2周目。あの前回あの
[00:04:19.400] なんだっけ?名前全く忘れたけど。
[00:04:21.347] [笑い]
[00:04:23.040] もう名前全く
[00:04:25.080] 名前全く忘れたけど名前全く忘れたけど変な子やって今日も名前忘れたけど紫色の子ちょっとなんかこちょっとなんかやっぱ心残ってんねんな心に残っててちょっといっときてえなということで行っときてえなとことでちょっとやろうかなぐらいはちょっとやろうかなと思ってバーニガ
[00:04:45.199] 2やりますんてないやなと
[00:04:50.560] 言っとく言っとき
[00:04:53.600] えっとね、あ、昨日ね、あの
[00:05:02.960] 鬼太郎さん、き太郎さんの[笑い]
[00:05:06.560] 名前が出てこった。鬼太郎会。あの、ご
[00:05:09.919] 視聴ありがとうございました。すいません
[00:05:11.039] でしたね。あの、コメント拾えなくて。
[00:05:13.120] コメント拾えなくてすいませんでした。
[00:05:15.039] あの、やっぱああいうゲームはしゃあな。
[00:05:17.120] だもんな。でも面白かった。面白かったす
[00:05:19.120] ね。面白かったすね。晴れ。
[00:05:21.800] めちゃくちゃ面白かったな、あいつな。いや、みんな面白かったっすね。見てくれてありがとうございました。面白かったわ。またちょっとああいうことやりたいな。またこちょっとなんか人狼とかやりてえな。ま、なんでそういう時はちょっとコメント読めないんですけど。ま、
[00:05:23.573] [笑い]
[00:05:36.759] さらちゃん不便すぎてよかった。彼女の悲鳴はおもろいね。やっぱ
[00:05:41.520] すごいよね。あれを瞬時に出せるのがやっぱ見習わなきゃいけない。ま、俺も同じ属性にいると思うんだけど。
[00:05:48.880] あれ追い出されないのかな?
[00:05:50.560] すごいよな。[笑い]
[00:05:52.720] すごいよな。はい、ということで、え、
[00:05:54.800] やってきますかね。やってきますか?
[00:05:56.479] バニガ2いいっすか?やってって。やっ
[00:05:59.120] てっていいすか?もうよいしょ。ちょっと
[00:06:02.639] 待って。
[00:06:04.759] ちょっと待ってくださいね。
[00:06:07.680] よし、じゃあやってくぞ。
[00:06:12.520] やはりエロ。[笑い]
