[00:00:15.759] うお。
[00:00:37.719] うしゃっす。ひ黒はレコツ
[00:00:53.320] うい。お疲れ。
[00:01:07.040] 役分からなるゲー助かる。
[00:01:42.399] パーカーてゲーム終わったから配信ツイートに画像になったね。
[00:02:08.319] そうか。カンニングできたのか。
[00:02:36.840] パーカー切るの暑くなってきたからかな。
[00:02:40.000] たす
[00:03:04.400] おす。
[00:03:12.360] え。
[00:04:53.320] はい、どうもこんばんは。チボゲームです
[00:04:55.160] 。はい、どうも。えっと
[00:04:58.440] やってきます。よろしくお願いします。
[00:04:59.960] 今日からですね、チャバゲームレトロゲーム月刊ということでちょっと最近最近なんか最新ゲームばっかりやってたんでちょっとレトロゲームやりたいなということで
[00:05:12.360] 今日から半袖で
[00:05:13.520] 今日から今日ってかもうちょっと前から半袖だよでどうもこんばんは。え、リーさんこんばんは。いもくこんばんは。しずさんこんばんは。え、イぞさんこんばんは。うんちゃんこんばんは。え、もこらこんばんは。えー、みちゃんこんばんは。ええ。
[00:05:29.319] え、ペ、こんばんは。ランディ、こんばんは。さん、こんばんは。え、は、こんばんは。ということでどうもこんばんは。あちいねん、今日もう暑くてパーカーとか来てられねえから。パーカーとか来てらんねえから。もう半袖でやで。え、おめら何、おめらまだ長袖で来てんの?信じられねえの。
[00:05:47.199] あとなんかパーカーの季節終わったからなんかツイートに画像けられつけれるようになったとか袖ですけど言ってましたけどそういうことじゃなくて
[00:05:58.199] そういうことじゃないすいことじゃなくてですねやるゲームというかゲームが切り替わった際僕はいつもこうやって写真をこうやってつけてツイートしてるんです。
[00:06:07.800] なぜかと言うと我だのなんだの言われたら
[00:06:10.319] めんどくさいんで、
[00:06:12.680] 特に僕がやるようなレトロゲームはね、
[00:06:14.440] マイナーでね、あの、なかなかあの、実機
[00:06:16.479] 以外じゃできないようなゲームばっかやる
[00:06:17.960] んで、あの、こうやってわざわざこう写真
[00:06:20.199] をこう私持ってますというのやってじゃ
[00:06:23.039] ないよというのをね、あの、アピールし
[00:06:25.560] てるんですわ。で、我じゃございません。
[00:06:27.400] 今回ね、これ見てください。これス
[00:06:30.520] でございます。今日はパッケージなん
[00:06:34.000] ですよ。音声と聞いてます。
[00:06:35.560] うスもあるやん、ここに。
[00:06:37.800] あるやん、ここに。うシャス。うシャス。オナシャス。スということで、今日はまずレトロゲーム月刊第
[00:06:43.440] 1作目
[00:06:44.080] 最高。
[00:06:44.800] うスでございます。
[00:06:45.840] おし。
[00:06:47.000] 聞いたことない。
[00:06:48.160] うん。聞いたことないよな、これな。あの、あれ、あれですよ。あれ、
[00:06:52.880] MSX実機でやりますんで。
[00:06:56.080] MSXでしかできない。
[00:06:57.800] にチャットずダイヤマークついてついてほんついてないって。ついてないって。でもこれあれですよ。
[00:07:06.000] さん、僕の大好きなコなミのゲームなんですよ、これ。コなミの
[00:07:11.599] コなミなんだよな。今日もお疲れ。疲れさん疲れ。こちゃん、こんばんは。
[00:07:16.639] 今日からまたレトロゲームやっていきますよ。
[00:07:18.720] ポーターマーク消したんでしょ?
[00:07:20.199] 消して。あるやん。ここにこです。こ
[00:07:23.879] ガムの方かと
[00:07:25.479] 何が何がガム?え、うスってガムあるの?わかんないんですけど。ま、やってきますわ。どんなゲームかは、ま、
[00:07:32.520] 1回配信でほん5
[00:07:33.720] 分ぐらいやったんだよな。ほんな5
[00:07:35.280] 分ぐらいやったんだ。疲れ晩御飯なんだ。
[00:07:37.199] 晩御飯今日は親子丼作りました。親子丼作った。あのこんなゲームやってきますよ。こんなゲーム
[00:07:44.759] のにさせていただき作った
[00:07:48.199] 僕の好きて言うからなんだっけが夢違ムもあるけど僕の好きなコナミなんでこれ実はですねあの
[00:07:57.360] MSXでしかできない。なんだかんだ。
[00:07:59.520] MLS
[00:08:00.159] のゲームもコ好コナミのゲームは有名なんでなんかそのなんかピント合わねえな、俺に。
[00:08:06.080] あのちゃんと卵閉じれんのかって左右の名はアンビシャス。
[00:08:11.039] どうもこんばんは。どうはシもきんちゃんもこんばんは。はもんはあのなんだこれは移植とか何もされてないんすよね。これでしかできないゲームなんでせっかくなんからやりたいなと思ってうっすらやってたね。あ、そうそう。そんなそうそうそうそうそう。
[00:08:26.000] なんかね、なんかね、
[00:08:29.759] ダブル矢印な
[00:08:30.560] んね、木怒哀楽のゲームらしいんすよね。なんかアクションゲームなんだけど。て、吸水出しる?
[00:08:34.919] 吸出しできるよ。吸水出しもちろんできるよ。吸水出しもちろんできるし。ま、
[00:08:38.680] MSX
[00:08:39.200] はあの公式でエミュレーターとか何?何?何?何?え、何この何このわけのわからない画角は。あ、
[00:08:49.040] 何この画角?
[00:08:50.000] 怖い。え?笑笑。怖いな。
[00:08:52.560] このな
[00:08:52.920] んだ今の?なんだ今の?なんか間違って変なことった。なんかちょっと後ろの人誰?キュってもういいって。後ろの後ろの人誰とかいいって。
[00:09:03.480] なったぞ。
[00:09:04.040] ちょ、後ろの人とかいいって。ということで今日やりますから。レトロゲームやりますから。レトロやっぱレトロゲーなんよね。
[00:09:10.920] えのレンタルビデオやみたいな箱って遠隔操作されてた。
[00:09:16.040] そうなんよ。いや、なんか間違って今押しちゃったボタンを。ということで今日からうすよろしくお願いします。
[00:09:21.680] うしす。よろします。ということでやってきましょう。
[00:09:24.560] みたいな箱だな。
[00:09:25.920] VHS
[00:09:26.440] みたい。でもこん中にカゼットが入ってんだよね。こん中に説明書ともうもうもうさっさとゲーム始めろやっていう話なんだけど。
[00:09:34.079] そんな感じだった。
[00:09:35.360] こんなんめっちゃ良くない?てか
[00:09:37.600] MSXってさ
[00:09:38.800] むしゃするお久
[00:09:40.600] 白箱が良くないって感じ
[00:09:43.640] 箱が良くない?メタルさんもこんばんは。今日からうしすよろしすやっていきますね。
[00:09:49.120] いや、もうずっと俺MSX
[00:09:51.079] をさ、環境揃えたくてさ、やっと今年の初めに揃えたんですわ。
[00:09:55.240] MDXにこれ直してもらいましたけども
[00:09:58.160] 興奮して声高くなってるべがあるみたいでそうだよ。いいよ。めっちゃい、
[00:10:05.320] めっちゃいいよな。あらさんもこんばんは。いいんですよ。ということで全くどんなゲームかは、ま、ちょっと分かりますけども、
[00:10:12.200] ドックスに直させ。
[00:10:13.279] そう、そう。MSX、MDX
[00:10:15.600] 楽ア、ムドックス。ありがとう。
[00:10:18.880] カセットによ。や
[00:10:20.480] 僕するよ。それが儀式だから。まだこんなに
[00:10:23.200] MSX
[00:10:23.760] まだ触ってないゲームありますから。これから楽しみですわな。これから楽しみですわな。ちょっとだけ見せちゃ
[00:10:30.040] なんだよ。でも見せちゃでも見せてあげる。こういうのもありますとね。こういうのもありますと。こういうのもありますと。パロディエスなんかもありますからね。これまたいいですよ。これもまたいいですよ。これパロデウスもやりたいすね。
[00:10:42.600] パロディウス大好き。
[00:10:43.639] あ、そうなんだ。へえ。クライさんとゲームやるんだ。
[00:10:47.440] クライさんとゲームやるんだ。
[00:10:48.680] 神飛行機で頼む。
[00:10:50.200] こんなあんねん。あいつ、こいつ、そいつ、どいつな?遊戯王カードにもなった。ま、こんなのもありますと。こんなのもありますわな。はい。ま、ちょっと、ま、やりますか。早速。早速
[00:11:00.240] 家行くことあったら中身入れ替えて神経。
