[00:00:25.160] うい。お疲れ。
[00:00:27.359] おいす。おいす。
[00:00:44.760] ちゃまさん待ってましたよ。
[00:01:00.760] ツイート見てからズボン下ろしてるから風
[00:01:03.199] 引きそう。
[00:01:09.240] ドスクブじゃん。
[00:01:23.119] ちん玉がもう寒くて団子兄弟になってるよ
[00:01:26.240] 。
[00:01:49.280] 電車の中でこれ見れねえ。
[00:02:49.480] コメラン最低で大爆笑しちゃった。
[00:04:45.360] パクパクパクパクパクパク夢か叶えし者し
[00:04:53.320] はいどうもこんばんはゲームで
[00:04:57.039] ございます。よろしくお願いします。え、
[00:04:59.080] やってきますよ、今日も。え、もこら
[00:05:00.759] こんばんは。こんばんは。え、プラプラン
[00:05:02.400] さんこんばんは。お疲れ。リビさん
[00:05:04.720] こんばんは。え、八丁お疲れ。主人さん
[00:05:07.800] ロブロはこんばんは。え、ペペペロン
[00:05:09.600] こんばんは。いくんということではい
[00:05:11.320] 夢叶えのチャームです。こんばんは。
[00:05:14.720] ランディもお疲れ。ランディもお疲れ。どうも叶えし物です。
[00:05:19.520] 勝つ
[00:05:21.400] 行きますから。今日は
[00:05:23.840] ってたわ。
[00:05:24.800] おおなちゃんこんばんは。集まりがいいわ。エロいゲームの時は。スケペどもうか。おい、スケベどもか。今日はやるよ。今日は
[00:05:36.080] やらせていただきますから。ええ、やらせていただきますからね。
[00:05:39.120] 今日はね、あの、
[00:05:41.319] 俺のために他の配信そうなの?気合入ってんな。気合入ってんな。今日はね、
[00:05:50.000] 寒い日にパン1は風引いて。
[00:05:52.039] バニガ、バニガ
[00:05:53.680] 2
[00:05:53.919] やらせていただきます。じんちゃんからプレゼントしてるなんですけどもやらねばということでやらせていただきますよ。今日はちょっと接度切を持ってエロゲの時だけな。
[00:06:04.400] エロゲの時だけは、え、協力的な皆さん。他のゲームの時何にも調べてくれないのに。じんちゃんありがとう。
