[00:00:50.079] うい。お疲れ。
[00:01:12.080] エボま
[00:02:21.481] [音楽]
[00:02:24.800] あ
[00:03:41.239] ສ
[00:03:51.680] ああ
[00:04:48.720] H
[00:05:03.840] そうやね。うんうんうんうん。
[00:05:19.199] 今日何食べたん?
[00:05:30.360] ああ、いいな。
[00:05:53.319] 裏でレベ上げか。
[00:05:59.600] マイクは
[00:06:02.199] あ、そういうこと。すいません。マイクオフだった。そういうことか。言ってよ。なんで誰も言わねえんだよ。普通に喋ってたわ、今。
[00:06:09.424] [笑い]
[00:06:13.960] 普通に喋った。最初から話して。
[00:06:16.240] いや、もう、もういいよ。もういいよ。
[00:06:17.939] [笑い]
[00:06:22.599] この流れはこのままで行こうってことなのかなって。
[00:06:25.840] そういうことか。こんばんは。いや、今日
[00:06:28.440] なのかと思ったじゃん。
[00:06:29.759] いや、普通にごめん。マイクオフだった。ごめん、ごめん、ごめん。マイクオフだったわ。
[00:06:33.659] [鼻息]
[00:06:35.360] 夜ご飯今日あの帰りに勝によって今日
[00:06:38.160] 夜ご飯活やによってカつカツだけこう買っ
[00:06:41.680] てきてとんかつだけ買ってきてあの卵と
[00:06:47.039] あの玉ねぎが余ってたから
[00:06:50.440] あのカ地にして食べました。
[00:06:55.280] 生活力がある。生活力があります。
[00:07:04.520] で、昨日ね、ちょっと、あ、昨日ちょっと
[00:07:06.960] あの、昼、あの、風呂上がりに、
[00:07:10.240] 風呂上がりにちょっと時間あったから
[00:07:12.560] なんかレベルちょっと上げとこっかなと
[00:07:14.319] 思ってやったんだよ。2時間ぐらいやった
[00:07:17.080] んだけどレベル1しか上がんなかった。
[00:07:19.509] [笑い]
[00:07:20.360] 全然上がんねえ。マジこのゲームマジで
[00:07:22.879] このゲームレベルが上がらなすぎる。
[00:07:29.160] まあまあやってきましょう。今日も
[00:07:31.400] ゆっくりね。
[00:07:33.920] [鼻息]
[00:07:39.120] いや、今日はがつりストーリーを進めたい
[00:07:42.720] 。えってことは誰にも俺挨拶してないって
[00:07:45.360] ことか。もこらこんばんは。ペッテル
[00:07:46.759] こんばんは。え、シーズさんこんばんは。
[00:07:50.280] ね、やってきますよ。
[00:07:54.080] なんかね、昨日およしよしよしよし。昨日
[00:07:57.199] もなんかね、ちょっとね、あのこの
[00:08:00.240] ディスク2もディスク2がちょっと曰付き
[00:08:03.360] なんで、なんかちょっとね、あの、あれな
[00:08:06.039] んだよ。
[00:08:09.000] ちょっと読み込み不良が1回発生したんだ
[00:08:11.639] よね。怖えんだよな。早くディスク3に
[00:08:14.599] 行きたいんだよね。も、ディスクに早く
[00:08:16.319] 追わしたい。イジェクトできねえしさ。で
[00:08:20.080] 、排出できない。ディスク出てこなかっ
[00:08:21.800] ちゃうし。あ、もうだるい。だる。やめて
[00:08:24.919] なあ、もう。
[00:08:29.680] これ強い割に全然経験値くれねえんだよ。
[00:08:53.279] なんかゲモンちっちゃい気がする。そんな
[00:08:55.240] ことない。
[00:08:56.440] ああ、そんなことない。ゲ門ちょうどいい。ちょっとちっちゃい気がするな。
[00:09:06.720] ちょうどいいと思う。
[00:09:08.040] ちょうどいい。俺の耳だけちょっとあげるね。俺の耳だけ。よし。
[00:09:26.920] いいっすね。結構上がるね。この能力値、
[00:09:29.760] 能力ディフェンスとか攻撃力とか素早さと
[00:09:33.279] かの能力者割と上がるんだけど
[00:09:36.600] なんて言うの?本レベルっていうのラン
[00:09:38.600] クっていうのなかなか上がんないっすね。
