[00:00:53.600] うい。お疲れ。
[00:02:40.800] 6日目。ナイス。
[00:03:28.480] ສ
[00:04:14.879] うん。
[00:05:11.080] はい[咳払い]、どうもこんばんは。はい
[00:05:12.360] 、どうもジャけです。やってきますよ。
[00:05:15.199] やってきます。はい、どうもこんばんは。
[00:05:17.440] え、もこらこんばんは。うんちゃん、
[00:05:18.720] こんばんは。はい、おそらく
[00:05:21.000] 今日たあれじゃない?最終回じゃないかな
[00:05:23.560] ?ちょっと待ってね。
[00:05:26.120] ちょっと待って。
[00:05:34.120] ちょっと待て。
[00:05:35.960] そんなん聞きたない。[音楽]
[00:05:37.080] ちょっと待て。よし。どうもこんばんは。よいしょ。やってきか。ちょっと哀愁カメラの位置が近くなってちょっと気持ち悪いんだけど、ちょっと部屋ちょっとさ、あの、模様買が替えし始めたから、ま、いいや。やってきますわ。おそらく最終回でしょう。
[00:05:56.919] おそらく最終回長かった。長かったです。
[00:06:01.880] ハロちゃお
[00:06:04.479] 非常にこんにちこんばんは。こんにちこんばんは。非常に長かった。本日で最終回でしょう。おそらくね。早せや。早くしてくれ。よし。いや、寂しいね。
[00:06:23.280] このディスクの入れ替えもこれが最後なの
[00:06:26.199] かもしれない。よし、
[00:06:30.000] やっていくぞ。レベル49。
[00:06:34.919] 結局こんくらい上がるんだな。なんか前の
[00:06:37.840] 人のデータ50レベル残っててどんだけ
[00:06:39.680] やり込んでんだよと思ってたけど結局こん
[00:06:41.599] くらい普通にやってもこんぐらい上がっ
[00:06:42.800] ちゃったな。
[00:06:44.759] よし、ディスク3ですよ。よいしょ。
[00:06:50.080] わかんないけど多分ね。
[00:06:51.160] 多分多分今日最終回わかんないけど、もうこどうしよう。まだ全然だったら半分とかだったら
[00:06:53.964] [笑い]
[00:06:59.120] ミラーハウスで詰まったのかな?
[00:07:01.039] ミラーハウスで詰まった。でもあそこ何がやばいって敵があんま出てこねえからレベル上げにもならないっていう。俺も昨日
[00:07:06.409] [笑い]
[00:07:07.280] 1
[00:07:07.440] 時間ぐらいはまったからな。さあやってくぞ。なんか前回さボスっぽいの出てきて終わったんだよな。ボスっぽいの出てきて終わったんだ。これさ、弾ねえんだけど大丈夫?弾ねえんだわ。
[00:07:21.639] 行こう。
[00:07:24.240] おそらく多分これボスよね。[笑い]
[00:07:28.400] これボスよな。あ、やばい、やばい、
[00:07:30.280] やばい。もう避けらんねえもんな、これな
[00:07:31.759] 。避けらんでもな。行くしかねえんだよ。
[00:07:33.319] よし、行こう。まずしょっぱな。ああ、
[00:07:36.400] もうめちゃめちゃ強そう。めちゃんこブー
[00:07:39.960] 強そう。
[00:07:42.479] いや、もうこの1番強い銃のさ、弾がねえ
[00:07:45.639] んだよ。どこから攻撃すればいいんだか
[00:07:48.000] わかんねえしな、これ。
[00:07:51.879] 音的にあんまあ、全然効か[笑い]
[00:07:55.960] 全然効かないんだけど
[00:08:01.840] 音的にあんまり聞いてなさそうじゃない?
[00:08:06.080] ただあいつの命中率もそんなないと思う。
[00:08:10.599] もうこれ全然スナっちゃ関係ないけどな。
[00:08:13.875] [笑い]
[00:08:14.879] 全然スナっちゃ関係ないやん。これなんや
[00:08:17.240] ねん、これ。
[00:08:21.520] 強い。
[00:08:23.440] 1発当たるとかなり避弾が。
[00:08:25.665] [笑い]
[00:08:26.400] でもね、こデザ好きよ、これ。メカデザイン好き。なかなかこう男の子の要点を、男の子ワクワクシステムの要点を分かっている。クソえって上のあのミサイル壊したいんだけどさ。
[00:08:46.120] そこ狙うか?上のミサイル狙うか?あまりにもちょっとここ狙うか。避けられたし。しかもそんなに多分好きなんでも好きなんよ。シザさんこんばんは。好きなんよ。キャラデザいいよね。スナッチャーと関係あるかと言われたらまあんまりやべやべさすがに間違えた。
[00:09:23.000] さすがにもこれラスボスとかじゃないと
[00:09:24.720] 思うんだよね。さすがにラスボスなっ
[00:09:26.320] ちゃうだろ。さすがに。しかもこんな
[00:09:28.959] ラスボスが道中にもうもう1回もう1個
[00:09:31.640] 使っちゃおう。もう1個使っちゃう。
[00:09:40.720] いや、ちょ、弾がないのが怖いんですよね。弾がないのが怖いんだよな。おつかちゃん、おそらく最終回。おそらく最終回。りさん、こんばんは。前回最後に戦ったこの変ななんか謎のボス敵と戦ってる。
[00:09:57.000] 本当の最終回
[00:09:58.560] かな?どうかな?さすがにこれラスボスってことはないと思うよ。
[00:10:09.160] めちゃめちゃ勝てえこいつ。
[00:10:12.959] わあ、これエクスプレス弾が30発しか
[00:10:14.800] ない。この後本部に戻ることあるんだろう
[00:10:17.839] か。
[00:10:26.842] [笑い]
[00:10:27.600] 勝てる気がしない。いや、ま、勝てない
[00:10:30.720] ことはない。一生やればこれを一生やれば
[00:10:33.560] いつかはする
[00:10:35.519] そうだよな。
[00:10:37.639] 確かにそう考えたらあと1匹ぐらい行って
[00:10:39.079] もおかしくねえな。ていうかラスボスが
[00:10:42.480] 一応す腐ってもスナッちゃーっていう
[00:10:45.600] タイトルを感じてるのにやべ。ラスボスが
[00:10:49.399] こんなポットでの謎のロボットだったら
[00:10:52.480] これはスナッチャーではない
[00:11:01.760] でも寂しいぜた
[00:11:03.560] 寂しい。あ、確かにこれさ、あれだよね。
[00:11:05.800] メタルギアにこんな出てきた。ピース
[00:11:07.120] ウォーカーにな、こんなん出てきたよな。
[00:11:09.519] なんかこのキャタピラみたいなやつ
[00:11:12.360] なんかメタルギアっぽいのいっぱい出て
[00:11:14.200] くるよね。メタルギアのボスっぽいやつ
[00:11:16.040] こっから来てんのかもしかしたらだとし
[00:11:18.360] たら熱くねえかピース
[00:11:22.120] ウォーカーにこんなん出てきたで。
[00:11:25.800] ちょっとたらもう1周やっても
[00:11:28.000] やらもうすんませんけど、もうこれは
[00:11:31.360] 1周やれば十分。も一生で一瞬、
[00:11:33.760] 1周やれば十分。
[00:11:36.440] 1
[00:11:36.680] 回の人生につき一瞬で十分だ。これ、このゲームは
[00:11:40.440] 2周やる必要ない。さすがに
[00:11:42.823] [笑い]
[00:11:45.519] 2
[00:11:45.760] 周やる必要ないっすね、このゲームは。普通のスナッチャーはもう俺
[00:11:49.480] 5
[00:11:49.680] 周ぐらいしてるけど。これはもういいかな。
[00:11:54.720] 9
[00:11:55.000] 万はこの後だよ。もう、もう全て封印されるよ。この後
[00:11:59.519] 2
[00:11:59.639] 度とあの開かれることなくなる。もう美術品みたいな感じになって学縁にあの額縁に入れて飾られるだけになる。
[00:12:16.040] ただなんかこれ俺さ、あのこのフロッピー
[00:12:18.000] のゲームとかさ、なんかバックアップ取り
[00:12:21.519] たいんだよね。
[00:12:23.680] 吸い出ししときたい。これ
[00:12:26.720] 強えて。なんかあと10年後プレイできる
[00:12:30.800] 状態で残けんのかって言われたらなんか
[00:12:32.360] 自信ねえんだよな。
[00:12:34.839] 時飛んだらやもん。そう。ちょレアな
[00:12:38.760] ゲームさ、もう1回買い直すなんてでき
[00:12:41.000] ねえからさ。出してデータ化しとくて。
[00:12:43.920] いや、強えって。マジでお前なんやねん。
[00:12:54.920] こっちのディフェンスがさ、もうレベル1
[00:12:57.079] まで下がられてるな。何なのこれ?
[00:13:01.279] やばい。もう弾がない。マキシマムでやる
[00:13:03.600] しかねえかな。
[00:13:06.040] マキシマムでやるしかねえか。
[00:13:13.040] めっちゃ待って強いって。
[00:13:16.240] どうであるのに。
[00:13:18.040] え、
[00:13:20.000] 強すぎるよ、これ。本当だよな。表示
[00:13:23.320] 3桁までるんでもディフェンスレベル0
[00:13:25.000] になっちゃったよ。なんで俺ディフェンス低いんだ?マジでそれ謎なんだよね。この上のさ、ミサイルチャーは壊しんだけど全然壊れねえな。
[00:13:42.880] 全然壊れねえ。でもなんだかんだ食らってるぞ、あいつも。もう
[00:13:51.160] 1
[00:13:51.320] 発避難したら絶対回復入れなきゃダめじゃねえか。
[00:13:53.759] かったらんとあられない。
[00:13:56.444] [笑い]
[00:13:57.120] 俺何?俺が今まで彼女に取られたらディフェンスが低いから。そうかもな。俺束縛とか全然しないタイプだからな。
[00:14:07.579] [笑い]
[00:14:10.440] どうぞ。52のタイプだから。
[00:14:15.800] どうぞ。52。その代わり僕も52
[00:14:17.920] っていうそういうタイプだから。あ、寝取られますわな。あ、でもなんかいいぞ。だいぶなんかこいつもディフェンス
[00:14:28.839] 0になって。おじちゃじあえ。
[00:14:36.399] あ、倒さ何?
[00:14:38.040] 急に倒れるやん。急にやれるやん。やったぜ。
[00:14:45.800] 731ぐ
[00:14:47.720] イエー。いいね。け。ここからは強力なんだよそれ。ここからは強力なクリーチャーたちがひめてそうですね。笑。
[00:14:56.705] [笑い]
[00:15:01.480] ああ、そうだな。気を引き締めた方が良さそうだ。
[00:15:03.639] いやいや、待て待て待て待て待て待て待っ
[00:15:05.399] て。もうこれがデフォになるのか?これが
[00:15:08.079] デフォんのか?え?弾ねえってよ。弾ね
[00:15:13.000] えってよ。
[00:15:15.920] もう敵無視でよれか、これ。ああ、違う。
[00:15:19.480] これ外れ。いやあ、どんな敵なんだ。
[00:15:22.920] 水びろ。
[00:15:25.079] あ、なんか強そうだな。確かにな。
[00:15:28.800] ちょっと強そうな敵来たね。
[00:15:35.360] 弾がねえんよ。
[00:15:38.639] しかもこいつ逃げらんねえタイプだ。
[00:15:40.120] ネット打ってくるやつだる。
[00:15:45.199] あ、まあでもこんくらいだったら別に
[00:15:49.040] どこ狙いの?全然ダメージ入んねえ。
[00:15:54.639] 本体か。この上んとこか。
