[00:00:29.720] ສ
[00:00:51.960] うわ、
[00:00:57.760] 通知タイトル詐欺。
[00:01:11.920] 焼肉焼肉なのかマイクラなのかドラクエなのか焼肉村かハムせ村かハムせ村かハ
[00:01:22.159] 男性ス
[00:01:41.600] スピッテートルススピッテートルス
[00:01:50.240] バドゲーしれねバ
[00:01:51.560] バドゲーしれね。バドゲーしれね。
[00:02:06.320] ボプドロップボドロップボプドロップ
[00:02:10.640] ボドロップボプドロップボプドロップ
[00:02:15.599] ボドロップボプボップボプドロプ
[00:03:17.840] ສウインク、ウインク、ウインク。戻っ
[00:03:21.920] ちゃった。
[00:03:38.280] これじゃよ。
[00:03:48.597] [音楽]
[00:04:03.519] ランカ1ちんカイチん茶まどなめ
[00:04:06.282] [音楽]
[00:04:06.840] て
[00:04:17.720] ラマーブレ
[00:04:30.600] さんみなっ[音楽]てきた。まーブレさん
[00:04:32.759] みなってきた。
[00:04:34.280] ブ、もう読むの疲れた。たまピロケラン。ゲオアギエマーチ。ゲオアギエマーチ。ゲオアギエマーチ。
[00:04:45.880] 今日はもういいかな?
[00:04:49.800] ゲアギエマチ。どうもこんばん。ゲマ。
[00:04:53.160] どうも邪魔です。はい、どうもやってきます。クラック。
[00:04:56.440] はい、どうもこんばんは。はい。はい。ちゃムです。
[00:05:02.120] あのね、
[00:05:03.199] こんばんは、
[00:05:03.880] こんばんは、こんばんは。
[00:05:04.680] こんば、こんばんは。こんばんは。はい、どうもこんばんは。あの、今日じゃない、昨日の、え、マイクラ配信ありがとうございました。ありがとうござました。
[00:05:13.280] B
[00:05:13.479] チームリーダーやりました。あの、いや、おもろかったんすけど。プ、
[00:05:19.400] めっちゃおもろかったんすけど、もう俺自分でもビるぐらいコメコミシになってたわ。俺あんなにコミシだったっけか。
[00:05:21.608] [音楽]
[00:05:26.848] [笑い]
[00:05:30.520] 最後燃える展開。か
[00:05:32.919] 笑笑
[00:05:34.479] びっくりするぐらい喋れない人とびっくりするぐらい生きてる人だと思うと怖くて
[00:05:42.360] 情けねえよ。
[00:05:43.120] 情けねえよ。情けねえよ。おめえらみたいな文字文字相手には全然何とも思わねえんだけどさ。みんな文字だから別にさ何とも思わねんだけどなんかコメントで応援したのに
[00:05:54.720] 全然喋れんかったね。なんかねやっぱなんかちょっとあれですな。
[00:05:57.634] [笑い]
[00:06:01.080] やっぱ生の生の人間と絡む機会がちょっとあまりにもなさすぎてあまりにもなさすぎてね本当にあの最後まで生き残っちゃいましたしね。なんかやなかま、うまいなんかまでも楽しかったすね。あの応援だいてくださ皆さんありがとうございました。ありがました。あした。てことで今日から普通にゲーム配信に戻っていきますけども戻っていきますけどもね。あのテリーのダーランドやってきますけどもね。その前にですよ。その前にですよ。
[00:06:30.919] その前にちょっと部屋全然多分わかんねえだろ。いつもより部屋ちょっと明るくないですか?た
[00:06:31.694] [音楽]
[00:06:35.624] [笑い]
[00:06:38.680] 明るくないですか?そんなことない。このこの緑のこのこのこれどう?全然気づいてない誰も多分俺しか気づいてない。え、この緑のこの
[00:06:46.759] [笑い]
[00:06:50.919] 笑笑
[00:06:51.960] どうですか?増えました。
[00:06:54.759] レーザーライトどうすか?これ綺麗じゃないですか?誰にもダブ気づいてない。誰も多分気づいてないな、これ。
[00:06:59.204] [笑い]
[00:07:04.800] う、うつ。ああ、てか、え、うんちゃんこんばんは。え、いもこんばんは。え、なっかさんこんばんは。え、なはちゃんこんばんは。え、もこならこんばんは。え、ランディこんばんは。え、シゼロさんこんばんは。え、のんびさんこんばんは。
[00:07:20.560] え、ですかね?ですかね?いや、ミラボ
[00:07:23.440] るっていうかなんかうん、なんかライト。
[00:07:25.405] [笑い]
[00:07:26.080] うん。なんかライト。いや、これ消すと
[00:07:27.840] 結構分かるで。消すと結構分かる。ほら
[00:07:31.440] ほら
[00:07:33.120] 然くない?全然違くない。ほれほれちゃう
[00:07:40.639] やろ。これ大全ちゃうやろ。うん。うん。
[00:07:44.120] ま、だからなんだっていう。[笑い]
[00:07:46.400] ま、だからなんだって話なんですけども。
[00:07:48.120] はい。はい。
[00:07:48.639] ま、それと、それと、ま、今日ももち、あの、ゲームやってくんですけど、それより前にですね、飛び始めた。
[00:07:56.039] それより前に、それより[音楽]
[00:07:57.159] 1
[00:07:57.280] 個前にあの、ちょっとね、あるものが届きまして、あるもの物が届きまして、えー、毎度おな染み、毎度お馴染みですよ。もう毎度お馴染みモコライト君からですね、またなんか
[00:08:09.599] 3D
[00:08:10.159] プリンターでアーダコーダ色々やったものがなんか色々送ってくれたみたいなんすよ。ちょっと開けますかね。開けていいすか?
[00:08:17.039] またまた。
[00:08:18.680] よいしょ。
[00:08:19.759] まだ結構パチパチパチパチパチカパチパ。
[00:08:23.960] 今セーフだな。今のセーフだよね。ちょっと待って。多分大丈夫。多分大丈夫。大丈夫。危な。俺だけじゃねえかな。ちょっと最初にこういうの剥がしとく気だった。危ねえ。よしよしよし。これ大丈夫だよね。もうこれ大丈夫だよね。これ大丈夫だよね。大丈夫だよな。これも一応しとくか。
[00:08:27.630] [笑い]
[00:08:48.279] よしよしよし。
[00:08:52.120] はい、ということで[笑い]色々届きまし
[00:08:54.279] た。あ、これあの箱は箱は関係ないいっす
[00:08:56.959] よ。箱は関係ない。アイリス大山の
[00:09:00.240] アイリス大山のこのサーキュレーター箱は
[00:09:01.959] 関係ないんですけど、ちょ、こん中に色々
[00:09:05.000] 色々入ってるみたいなんすよ。なんかまた
[00:09:06.920] 3Dプリンターでね、あの、いただきまし
[00:09:08.680] た。あの、開けていこう。開けていこう。
[00:09:13.200] 開けていこう。早速開けていこう。
[00:09:15.160] ありがとう。モコライトありがとう。
[00:09:17.079] もコライト
[00:09:18.680] よいしょ。
[00:09:21.920] 結構なでかさだ。結構なでかさだ。
[00:09:27.000] え、結構厳重じゃねえかよ。
[00:09:31.079] 結構厳重ですね。結構厳重ですね。こんな
[00:09:35.839] もんか。こんなもんか
[00:09:38.720] も何これ?よしよしよしよし。
[00:09:44.680] 何が入ってんのかな?何が入ってんのかな
[00:09:47.959] ?これ最初開けて大丈夫かな?なんか変な
[00:09:50.480] もん入ってねえよな。
[00:09:58.480] これは違う。え、まずは?おお、なんか
[00:10:02.600] なんか色々入っ[笑い]てんだけど。
[00:10:03.920] ちょっと待って。ちょっとでけえから
[00:10:05.640] ちょっと下に置くわ。下に置いて順番に
[00:10:08.040] 行きましょう。
[00:10:09.320] まずなんかこれは何?なんか多分なんかいらない線いらない線送ってきたな。これ低のいい配信回収なのではなんかいらない
[00:10:11.777] [笑い]
[00:10:23.160] いらないケーブル
[00:10:23.959] いらないケーブルがいた色々あ、でもちょっと待ってちょっと待って。マジでいらんやんこれは。いや、他はいいよ。他はなんか
[00:10:35.920] HDMI使えるじゃん。HDMIもう1
[00:10:38.639] 本使えるじゃん。いや、これさ、これ、これマイクロ
[00:10:42.360] スルアケーブルやぞ。
[00:10:43.480] いや、これあれだろ。だからキャノンケーブルでしょ、これ。いや、これいらないって。俺使い道ないよ、俺。これ、これマイクの
[00:10:50.422] [笑い]
[00:10:51.600] ロックも使える?
[00:10:52.440] これま使るしな。別にオレンジブロック使わないよ。これじんちゃんにあげた方がなんかまだ使い道ありそう。これキャノンケーブル、このマイクとかのキャノンケーブルね。縄トび
[00:10:55.662] [音楽]
[00:11:05.760] 長び。
[00:11:06.600] に使えるかな?短いかな?ちょっと。はい。ありがとうございます。
[00:11:09.600] スピーカーもそれでな。
