[00:00:29.720] ສ
[00:00:40.079] 黄色。
[00:00:42.719] うい。お疲れ。
[00:00:46.879] ポき
[00:00:48.719] 黒。
[00:00:51.160] ああ、こいつバカだ。頑張れ、頑張れ。おつちゃま。はい。
[00:00:59.239] 神うまいじゃん。
[00:01:03.000] コメントの盛り上がりです。
[00:01:06.240] やるじゃん。おつちゃま。頑張れ、頑張れ。
[00:01:11.960] えい。お疲れ。
[00:01:32.759] コメラン静かです。
[00:02:41.959] もうエンディングか。
[00:03:00.159] ウェイ有言実行しなきゃな。
[00:04:54.680] え、どうもこんばんは。どうもチムゲームです。はい。えっと、
[00:05:01.320] 悟空やん。
[00:05:02.400] 何がよ
[00:05:04.280] さん?
[00:05:05.039] あ、服がね。た、
[00:05:07.720] 悟空悟空とかジャイアンの
[00:05:11.039] みかオレンジ来た。
[00:05:12.199] みかオレンジ。みかオレンジ。同技な神仙人の丸のな。えー、シさんこんばんは。
[00:05:19.280] え、こんばんは。え、も、こんばんは。うんちゃん、こんばんは。え、こ太プリンこんばんは。りさんこんばんは。
[00:05:28.880] え、やってきますよ。あた、こんばんは。はい、やってきますわ。
[00:05:33.440] あ、ペ、お疲れ。やるぞ。やりますよ。ちゃ
[00:05:36.800] 000人さん待ってましたよ。
[00:05:38.240] あ、どうも。ちゃま000
[00:05:38.880] 人です。プランさんこんばんは。有限実行。もうちょっとほんまにクリアしに行く。ほんまに
[00:05:45.680] ギザギザ欲しい。
[00:05:47.319] 眩し髪型整ってきちゃったね。
[00:05:50.840] ほんまにほんまに
[00:05:52.759] くリアしに行く。髪型整ってきなんて整ってきちゃダメなのか。整ってきちゃダメなのか。ほんまに。バディボ
[00:06:01.840] ほばディボーホッバディボはい、どうもこんばんは。やってきますよ。よろしくお願いします。だたら今日やって明日昼間やって明日夜ちょっとできないんですよね。
[00:06:14.280] に無理やで。無理じゃないよ。か、
[00:06:17.080] 無理じゃないよ。無理じゃないよ、もう、もう。でもクリア間近やから、明日の夜はちょっとあの家族でご飯食べに行きますんで。
[00:06:27.639] 今日のごちぐるメは?
[00:06:30.039] 今日のごぐるめないねんな。送ってくれよ。おめらのおめらのあの地元の強度飯を。じゃあでもあ、やめようか。住所教えるはめになるからな。
[00:06:43.120] 住所教えるはめになるのか俺。なんか
[00:06:45.360] いろんな結構結構普通に普通になんか結構
[00:06:50.280] な人に住所教えてんだけど怖いんだけど
[00:06:54.680] もうやめてほしいんだけどもうなんか忘れ
[00:06:58.319] てほしいな結構なリスナーに教えちゃっ
[00:07:01.039] てるんだよね
[00:07:04.360] がよろしいか登録
[00:07:06.599] ネ取りテラシーのなさね芋セット
[00:07:09.240] いいじゃん。芋セット送ってよ。
[00:07:11.280] 芋にセット送ってくれよ。ニっ転がし芋の登録できちゃって何が何を登録すのやめてやめてね。いやマジで本当に結構な人に教えちゃってんだよね。本当に忘れてほしい。
[00:07:25.039] 教えてよ。
[00:07:26.199] 教えねえ。
[00:07:26.919] マンゴだけどいい。
[00:07:28.360] え、いいじゃん。え、宮崎なん?宮崎なん?マンゴーとかめっちゃ良くない?めっちゃ良くない?
[00:07:35.319] 嘘だよ。
[00:07:36.080] 嘘かよ。なんやねん、その何、そのしょうもない。
[00:07:39.199] 別についてもつかなくてもいい。嘘。ついてもつかなくてもいいだろ。それなんだそのはい。じゃ、
[00:07:45.479] 果物食えんの?
[00:07:46.759] 果物食えないけどよく知ってんじゃん。果物嫌いなんでごめんな。いや、嘘。いや、いや、いや、食えなくはないよ。食わないだけで。食えなくはない。食わないだけでな。ということでやっていきます。や、やら、やっていきますよな。久々になっちゃったな。
[00:08:07.879] なんかな。あ
[00:08:09.800] あ、果物ちゃん泣いてたよ。
