[00:00:13.360] ひ
[00:00:19.650] [音楽]
[00:00:59.359] は
[00:02:11.080] う、
[00:02:15.480] 長いね、これ。
[00:03:36.152] [音楽]
[00:03:53.239] やっと週末か。エボたまに。
[00:04:51.000] どうもこんばんは。
[00:04:53.919] 生ゲームこと足元レンです。
[00:04:57.039] はい、どうもこんばんは。はい、やってきます。あ、いもくこんばんは。え、彩たこんばんは。えなはこんばんは。え、ペペペロンはうす長いね、これ。え、まれあ、やっと週末やね。やっと週末。結局週末になっちゃいました。まあまあまあまあ、今週末もやってきますよ。ドラグニティクエスト。ドラグニティクエストやっていきます。えー、ライト&amp;ダークデスドラゴン帽子ね。え、こめちゃんもこんばんは。めちゃんもこんばんは。
[00:05:26.680] はい。ドラゴンクエスト2
[00:05:29.960] ちょっと鼻の調子が悪いんで、ちょっと風邪引いたかもしれませんけども。寒すぎねえか。さすがに。さすがに寒すぎ。
[00:05:41.440] その頭についてるのがロトのモンス。
[00:05:43.639] いや、違う。全然違う。これ全然違う。全然違う。
[00:05:46.479] クソ寒いんよな。やば。俺この部屋はい。今日配信準備しようと思った。入ったら息白かった。
[00:05:54.359] [笑い]
[00:05:54.960] 君っちゃ寒いよね。
[00:05:56.680] 息白なった。家ん中で。寒すぎて。外が重たわ。外たわ。中ドさんこんばんは。はい、どうもね、やってきますよ。もういい加減クリアしたいんだけど。今週こしく週くりある。しくりクりあるか。しくりジさんもこんばんは。修さんもこんばんは。もうしょ。
[00:06:19.599] もうズボンズボン揚げあげで。ズボン揚げ上げで行きます。
[00:06:23.639] ズボンを上げて寒いからな。ポンポン冷えったらよ、ポンポンよ。笑
[00:06:25.799] [笑い]
[00:06:29.280] ポンポン冷えったらよ、ポンポン冷えったらあれだからいいなるからポンポンあっためてくよ。あっためてくよ。そしてこのそしてこのモコボコの靴下。これモコモコの靴下な。これだよ。もう最強でもう寒てやべえもんだって。寒てやばい。
[00:06:51.599] ま、暖房つけドラゴンでやってきます。
[00:06:54.919] はい、じゃあドラゴンクエスト2やってく
[00:06:56.879] よ。やっていくよ。
[00:07:02.000] はい。やるやるやるやるやると
[00:07:08.280] 今週くりありそっすね。
[00:07:10.160] シュークりありそっすね。なんか間違るな
[00:07:12.840] 、俺。これねえな。こっちだ。
[00:07:16.000] さんの体型はさ知らずだと思うよう言われ
[00:07:19.560] んでプレさんこんばんは。言われんねん。
[00:07:21.759] デブは寒あんま寒くないよねって。バカ。
[00:07:25.879] 体で体でけえ方が外気温に触れる面積が
[00:07:29.400] お前広いんだから寒さ感じる場所いっぱい
[00:07:31.520] あるん決まってんだろ。その辺を分かって
[00:07:34.360] いただきたい。あ、ちゃうね。あれや。
[00:07:37.840] うわ、どうしよう。今日ね。どうする?
[00:07:39.879] みんな今日さ
[00:07:42.120] ストーリーやる?ストーリーやるか?
[00:07:47.720] あのレミラーマーやるかなんよな。
[00:07:50.680] いや、どうしよう。でもレミラーあった。これあまりにも広すぎてさ。あまりにも広すぎてこれ多分石パートガチガチに使っちゃうと思うんだよね。
[00:08:01.720] 今のうち寄り道しよう。
[00:08:03.199] え、もうやぱレミラもやるじゃん。
[00:08:05.080] 寒さに弱いってぽっちゃりのメリットって何なんだろう?
[00:08:08.440] メリットなんかねえよ。あ、言っといてある。あのね、太っていることに対するメリットなんてないです。
[00:08:15.440] ない。笑。
[00:08:16.360] ない。え、ま、マジでないよ。
[00:08:18.120] メリットデブって死ぬ。こでしょ。やっぱ
[00:08:21.639] 早く死ぬ。早く死ぬし。じゃあ今日はもうあれすっか。じゃあ今日はやっちゃっていいね。みんなやっちゃっていい?今日やっちゃっていい?この犬の花アンドやっちゃうよ。やっちゃう。ちゃも今日みんなあれだわ。今日あのもしかしてあの
[00:08:39.760] 今日忙しい人は多分あのあんま見なくてもいいかもしんない。今日
[00:08:44.660] [笑い]
[00:08:44.680] やっちゃえ。
[00:08:45.399] 今日何もないです。今日。こロちゃんこんばんは。
[00:08:47.720] 200歳まで行きてえよ。
[00:08:49.680] 200歳まで行きてえけどよ。
