[00:00:00.240] DET
[00:00:44.120] ググググーグーグググ
[00:01:27.079] よう
[00:01:33.079] 花金なのにないと思ったよ
[00:02:07.240] はいどうもお疲れやります
[00:02:11.360] か
[00:02:12.959] ああ
[00:02:15.120] しんど今日もやります
[00:02:17.480] からああとさあれだTwitter諦めて
[00:02:22.000] 作り直した
[00:02:23.280] わTwitterさもうメインの
[00:02:26.160] アカウント
[00:02:27.319] さもうあの
[00:02:31.160] 見たよああもうね帰って来ねえと思った
[00:02:34.680] 思うから諦めて作り直したわうんよかっ
[00:02:38.800] たらフォローして
[00:02:41.080] くださいげこんばんははいお疲れちゃん
[00:02:45.080] こんばんはやるよやりますよ今日クリあり
[00:02:49.000] ますはいお待たせしましたあの皆さん苦行
[00:02:51.959] が今日終わり
[00:02:54.640] ます今モンハンでにげ作って何それえ
[00:02:58.640] モンハンていつからなの
[00:03:00.840] モンハンていつからなのえこんばんは
[00:03:04.040] セカンドもモンハンモンハン俺のチマ
[00:03:06.920] ゲームセカンドGもよろしくおお
[00:03:10.239] 疲れ今ベータあベータ版ねみんなモンハン
[00:03:15.200] やってんだけどモンハンベンチマークって
[00:03:18.599] さモンハンベンチマークってどこで見れん
[00:03:21.440] のどうやってやんの俺もやりたいなんこっ
[00:03:23.159] てみんなやってん
[00:03:25.760] じゃおらアホみたいな顔してやってる
[00:03:28.159] でしょ多分なんか画の前でよれたらし
[00:03:30.519] ながらやってんでしょモンハンベンチ
[00:03:32.560] マーク俺もツイートしたいあれってどこで
[00:03:35.360] やんのやろうよ今やってみようぜ俺の
[00:03:39.200] パソコン配信つけさダメなんかなお
[00:03:43.239] こんばんはあれなんか
[00:03:45.400] なステムでベンチマークああSteamで
[00:03:48.920] わざわざ落とさなきゃいけないん
[00:03:51.480] だ若干のめんどくさ
[00:03:55.720] ありちょっと俺俺もモンハンベンチマーク
[00:03:59.079] やりたいんだけど
[00:04:02.239] ちょっとやってみようか
[00:04:04.959] なSteamのSteamにあんのチーム
[00:04:08.959] が起動しねえわ配信けてたら落ちるけど
[00:04:12.120] 配信でやるなら配信けて
[00:04:14.560] やそうだよねそうだよね配信結局だから今
[00:04:18.040] の状態で測ってやるのが一番その配信で
[00:04:21.239] やった時の能力ってことよ
[00:04:23.560] なえちょっとSteamちょっとが開か
[00:04:26.520] ないなんで
[00:04:29.880] かるから今ダウンロードしておけば
[00:04:31.720] ちょっとSteamがなんか動お疲れ
[00:04:34.000] スチームが起動しないあもらこんばんはあ
[00:04:36.199] もらありがとうねなんかモコがさもらから
[00:04:38.960] 今日あのなんか連絡来てさあのなんだっけ
[00:04:41.800] カムカム白島レターパックで送りました
[00:04:45.479] 明日ありがとうカムカムミニキーナ
[00:04:59.720] モンスター
[00:05:00.960] ハンター
[00:05:03.360] ワイルズベンチマーク木何があるの
[00:05:06.880] ちょっとふざけたレタパだから注意して
[00:05:09.400] 何それ怖いななんだそれふざけたレタパっ
[00:05:12.039] てベンチ
[00:05:14.919] マークベンチマークってやったら
[00:05:20.400] 出る俺もちょっとベンチマーク見てみ
[00:05:25.120] たいあもう待っ時間時間がちょっと待って
[00:05:34.000] よお疲れどうもこんばんはジャムゲーム
[00:05:36.000] ですやってきますよ今日もやります
[00:05:39.400] けど顔ずっと見てたらわかんなくなってき
[00:05:42.800] たう何がえモンハンベンチマークやって
[00:05:48.520] みようじゃんモンスター
[00:05:50.880] ハンターえないんだけどモンスター
[00:05:56.039] ハンターえないよモンスターハンター
[00:05:59.000] ワイルズ
[00:06:01.440] ちょっと待っ
[00:06:07.560] てワイルズのベンチマークないないなんて
[00:06:11.199] ことあるないや
[00:06:13.280] んえどれあモンスターハンターワイルズ
[00:06:18.520] ベンチマークあったこれかあこんばんは
[00:06:23.720] しもちゃんこんばんはそれこれこれ何どう
[00:06:26.360] すればいいの
[00:06:27.440] これベンチマークダウンロード
[00:06:31.520] はいわなんか待って俺のね俺の空状況を見
[00:06:36.000] られたんだけどもう俺あのローカルC
[00:06:38.479] ドライブが59gしかね時間かかるえじゃ
[00:06:41.720] やっぱCドライブに入れた方がいいえま
[00:06:43.800] シドラパンパンになっちゃうんだけどこれ
[00:06:45.960] 別にいいだろ笑えCドライブパンパンなっ
[00:06:49.120] ちゃうんだけど59gしかないけど秋がは
[00:06:51.440] センシティブ
[00:06:53.560] すぎるでもやっぱこれシドラに入れた方が
[00:06:56.319] いいよね
[00:07:01.080] どんくらい時間かかんのこれあクソ時間
[00:07:03.680] かかる
[00:07:04.639] わあクソ時間かかるま
[00:07:11.080] 2%クソかかるからしばらくゲームやって
[00:07:14.400] 忘れた頃にじゃあミベ
[00:07:16.319] 今これがモンスターハンターですか噂のえ
[00:07:21.599] 何何見せろやなんではなんでアップにし
[00:07:26.319] たら止まんだよ
[00:07:30.440] 今日メトロードクリアあります
[00:07:32.400] これ何この見せろ
[00:07:35.759] やなんでこれ止まんの何これ
[00:07:42.400] えこれはなんで止まって俺の俺のパソコン
[00:07:45.919] が悪いこれ配信止まっ
[00:07:48.639] てるえなんで映像見せてくれない
[00:07:52.599] のよしよし
[00:07:55.199] よし配信止まってないあっち
[00:07:59.759] ひたすらえ待ってあ待ってえあ何え
[00:08:07.639] 何え何一瞬止まった一瞬ぐる
[00:08:12.800] 一瞬なん
[00:08:14.599] でえ
[00:08:17.400] なぜ今帰ってきてるぐるぐるしそう
[00:08:24.400] ですやっぱCドライブに多量のアクセは
[00:08:27.840] まずかったかな
[00:08:30.319] ね今のモンハンててるからでしょ今の
[00:08:33.959] モンハンて喋るのあだめだやっぱさこれ
[00:08:37.640] あれだ20何ギガもさダメだってこれの
[00:08:42.560] せいだ絶対えなんか今日配信止まりそうあ
[00:08:45.720] ちょゲームやろう喋る今喋るんだ今のモン
[00:08:49.040] ハンって日本語なんかおいよいはいやれ
[00:08:53.800] ねえじゃなくなったのねあれはあれは
[00:08:56.320] なくなったのでえべよいよい今の時はい
[00:09:00.640] やれねじゃなくなったの今のモンハンはね
[00:09:05.519] 俺の俺の知ってるモンハンじゃなくなった
[00:09:07.160] んだけどおなしじゃなくなった
[00:09:09.880] のえおなりしじゃなくなったの今のポケモ
[00:09:13.079] ンってポケモンじゃねえやモハンって長
[00:09:15.760] やめてね全然じゃあもう違うんだの受付場
[00:09:18.800] が不細工すぎてパソコン版で可愛くする
