[00:00:12.599] ひ
[00:01:41.880] こ来ない。
[00:03:31.400] うえ。
[00:04:47.280] はい、どうも。
[00:04:48.479] はい、どうもちゃまゲームです。はい、どうもこんばんは。はい、やってきますかね?やってきますかね?あの、あれ行ってきました。初詣ってきて、去年と同じあの木札みたいのもらってやってきましたよ。やってきまして帰ってきたんで、ま、
[00:05:06.840] ちょっとやろうかな。いもこんばんは。え、しもきちゃんこんばんは。え、あたこんばんは。始まりあれ食ってきたわ。
[00:05:14.520] の、あのメダカの池スープ食ってきたよ、今年も。今年も出てきたよ。メダカの池スープめちゃくちゃうまいけどな。あれ
[00:05:25.919] 何か味じなん
[00:05:27.280] なんかあれなんわかんないな。なんかしょっぱい。わかんね。しょっぱい。なんかしょっぱい。しょっぱい。キュウリ。細っキュウリ乗った。
[00:05:40.120] しょっぺでうめえや。しょっぺでうめえ
[00:05:42.280] から。1番
[00:05:44.360] しょっぺが1番うめえからな。しょっぺで
[00:05:47.520] うめえ。ということで、え、今日もま、
[00:05:50.120] じゃ、8時ぐらいまでやろうかな。8時
[00:05:52.240] ぐらいまでドラグニティクエスト2やって
[00:05:54.840] きます。もうこんな時間から俺が配信する
[00:05:57.840] もんだから多分ちょ全然来ないと思うんで
[00:06:00.199] 、もうさっさとやります。
[00:06:04.319] まさか俺がこんな時間に配信すると思って
[00:06:05.919] ねえだろうからな。
[00:06:11.280] 始ましますよ。あ、シーズンさん、こんばんは。ガンガン。今下の下の部屋のカップルねえみてだから車ねえから。今のうちにでかいことしてかないと。あ、みきさんどうもこんばんは。あけおめ。
[00:06:25.160] 今日はニットぶって出かけたんだね。
[00:06:28.639] うん。帽子。そう、今日帽子かぶって帽子かぶってたんであのあ、じゃ、今日帽子かぶってないよ。今日帽子被ぶってないだってあれだもん。
[00:06:36.240] あのメダカのうんちゃんこんばんは。メダカのスープ屋さんあるじゃん。あれドレスコードあって帽子禁止やねん。今日これで行ったよ。だから普通に普通にこれで行ってたけど帽子禁止なんだあそこ。
[00:06:51.080] 笑笑。
[00:06:52.160] お疲れ。
[00:06:52.919] ドレスコードありありさんこんばんは。お疲れ。さてさて。
[00:06:58.319] メダカの治業スープ。あれでもめちゃうめえから今年もあれをしらんできました。
[00:07:04.720] え、何?どこ行けつたんだっけ?ルプガナ。あ、ドラゴンの角に行ってルプガナに行きますと。どこやねん?ルプガナって。
[00:07:12.520] あれがな念が始まる。
[00:07:14.080] そうよ。あれを、あれを体内に収めてからが
[00:07:17.639] 2026。
[00:07:18.759] どうしようかな。ちょっと待って。武器買おうかな。金結構あるぜ。金ならある。いや、もうこれ買っていいか?鋼、鋼の剣買っていいか?これ
[00:07:32.599] なんだわ。金あんだわ。ガネツル買って
[00:07:37.039] ガネツルでもあんまり上がんねえんだよな
[00:07:38.840] 。
[00:07:40.639] いや、でも
